cx; mx; best; avg; time
0.8; 0.15; 9; 9.84; 145.812s
0.8; 0.2; 9; 9.36; 135.826s
0.8; 0.2; 9; 10.955; 138.597s
0.8; 0.2; 10; 10.625; 138.103s
0.8; 0.25; 10; 10.345; 116.138s
0.8; 0.25; 10; 10.56; 126.789s
0.8; 0.25; 9; 9.63; 129.878s
0.9; 0.05; 10; 10.385; 116.163s
0.9; 0.05; 9; 10.74; 140.099s
0.9; 0.05; 10; 10.47; 129.554s
0.9; 0.1; 9; 10.845; 119.844s
0.9; 0.1; 9; 10.5; 130.852s
0.9; 0.1; 9; 10.38; 140.301s
0.9; 0.15; 10; 10.555; 111.831s
0.9; 0.15; 9; 9.495; 114.032s
0.9; 0.15; 9; 10.795; 141.036s
0.9; 0.2; 9; 9.275; 113.535s
0.9; 0.2; 10; 10.515; 107.669s
0.9; 0.2; 9; 10.495; 124.764s
0.9; 0.25; 10; 10.36; 105.864s
0.9; 0.25; 9; 10.69; 131.263s
0.9; 0.25; 9; 10.07; 119.168s
cx; mx; best; avg; time
0.5; 0.05; 11; 12.36; 313.478s
0.5; 0.05; 10; 11.855; 303.276s
0.5; 0.05; 10; 11.96; 298.089s
0.5; 0.05; 10; 12.31; 286.899s
0.5; 0.05; 10; 11.685; 294.007s
0.5; 0.05; 10; 11.435; 297.34s
0.5; 0.1; 10; 11.955; 301.44s
0.5; 0.1; 10; 12.26; 319.236s
0.5; 0.1; 10; 12.38; 298.819s
0.5; 0.1; 9; 11.11; 299.387s
0.5; 0.1; 10; 11; 290.797s
0.5; 0.1; 10; 12.25; 321.134s
0.5; 0.15; 10; 11.395; 297.868s
0.5; 0.15; 9; 11.59; 317.96s
0.5; 0.15; 9; 12.035; 308.686s
0.5; 0.15; 9; 10.86; 271.24s
0.5; 0.15; 9; 12.12; 323.995s
0.5; 0.15; 9; 11.6; 305.489s
0.5; 0.2; 10; 11.675; 275.437s
0.5; 0.2; 9; 10.775; 261.958s
0.5; 0.2; 10; 12.68; 286.337s
0.5; 0.2; 8; 9.855; 227.908s
0.5; 0.2; 9; 11.88; 322.185s
0.5; 0.2; 9; 11.43; 211.555s
0.5; 0.25; 9; 11.58; 255.776s
0.5; 0.25; 9; 12.29; 331.177s
0.5; 0.25; 9; 10.925; 291.299s
0.5; 0.25; 10; 11.68; 242.294s
0.5; 0.25; 10; 11.61; 206.415s
0.5; 0.25; 9; 11.075; 204.196s
0.6; 0.05; 9; 11.315; 219.069s
0.6; 0.05; 10; 10.94; 225.515s
0.6; 0.05; 11; 12.115; 190.419s
0.6; 0.05; 10; 11.8; 205.6s
0.6; 0.05; 8; 11.695; 248.737s
0.6; 0.05; 9; 11.4; 269.429s
0.6; 0.1; 10; 11.49; 188.931s
0.6; 0.1; 10; 11.6; 231.193s
0.6; 0.1; 9; 11.35; 231.388s
0.6; 0.1; 9; 10.675; 174.283s
0.6; 0.1; 9; 10.855; 246.364s
0.6; 0.1; 10; 12.17; 219.026s
0.6; 0.15; 10; 11.7; 207.32s
0.6; 0.15; 10; 11.195; 180.835s
0.6; 0.15; 10; 10.31; 188.614s
0.6; 0.15; 9; 12.055; 233.482s
0.6; 0.15; 10; 11.89; 215.859s
0.6; 0.15; 9; 10.575; 196.053s
0.6; 0.2; 9; 12.04; 190.685s
0.6; 0.2; 9; 11.73; 256.361s
0.6; 0.2; 9; 11.45; 238.839s
0.6; 0.2; 9; 11.72; 212.764s
0.6; 0.2; 10; 11.505; 180.998s
0.6; 0.2; 9; 10.445; 222.721s
0.6; 0.25; 9; 10.83; 194.853s
0.6; 0.25; 9; 9.75; 184.286s
0.6; 0.25; 8; 11.755; 189.736s
0.6; 0.25; 9; 11.415; 210.968s
0.6; 0.25; 9; 11.72; 254.38s
0.6; 0.25; 10; 11.955; 186.24s
0.7; 0.05; 9; 10.37; 166.437s
0.7; 0.05; 10; 11.51; 175.894s
0.7; 0.05; 11; 11.585; 158.46s
0.7; 0.05; 9; 10.925; 187.436s
0.7; 0.05; 9; 10.765; 193.995s
0.7; 0.05; 10; 10.085; 146.278s
0.7; 0.1; 9; 10.72; 187.548s
0.7; 0.1; 10; 10.69; 137.848s
0.7; 0.1; 11; 11.98; 158.602s
0.7; 0.1; 9; 10.08; 160.407s
0.7; 0.1; 10; 11.115; 147.01s
0.7; 0.1; 10; 11.245; 177.226s
0.7; 0.15; 9; 10.945; 150.373s
0.7; 0.15; 9; 10.075; 166.957s
0.7; 0.15; 9; 10.725; 170.537s
0.7; 0.15; 10; 11.2; 166.326s
0.7; 0.15; 10; 10.725; 168.575s
0.7; 0.15; 10; 10.86; 143.405s
0.7; 0.2; 9; 10.75; 159.379s
0.7; 0.2; 7; 9.15; 44.1824s
0.7; 0.2; 9; 10.16; 150.315s
0.7; 0.2; 9; 10.87; 170.955s
0.7; 0.2; 9; 11.315; 214.906s
0.7; 0.2; 9; 11.16; 165.521s
0.7; 0.25; 9; 10.785; 163.822s
0.7; 0.25; 9; 10.54; 184.934s
0.7; 0.25; 9; 10.505; 176.136s
0.7; 0.25; 9; 11.705; 147.533s
0.7; 0.25; 9; 10.73; 199.066s
0.7; 0.25; 9; 11.07; 195.117s
0.8; 0.05; 10; 10.255; 139.761s
0.8; 0.05; 9; 10.42; 172.126s
0.8; 0.05; 10; 10.71; 127.332s
0.8; 0.05; 10; 10.165; 129.365s
0.8; 0.05; 10; 11.5; 164.132s
0.8; 0.05; 11; 11.03; 122.432s
0.8; 0.1; 10; 10.89; 130.818s
0.8; 0.1; 10; 10.89; 126.402s
0.8; 0.1; 9; 9.78; 132.23s
0.8; 0.1; 9; 11.615; 134.505s
0.8; 0.1; 10; 10.58; 126.957s
0.8; 0.1; 10; 10.12; 136.579s
0.8; 0.15; 10; 10.905; 138.149s
0.8; 0.15; 10; 10.235; 120.511s
0.8; 0.15; 10; 11.345; 128.355s
0.8; 0.15; 9; 10.915; 122.655s
0.8; 0.15; 10; 10.705; 123.281s
0.8; 0.15; 9; 10.055; 128.64s
0.8; 0.2; 9; 10.715; 135.366s
0.8; 0.2; 10; 10.975; 124.967s
0.8; 0.2; 9; 11.825; 157.544s
0.8; 0.2; 9; 12.25; 184.791s
0.8; 0.2; 10; 10.735; 124.576s
0.8; 0.2; 9; 9.91; 131.798s
0.8; 0.25; 9; 9.805; 123.096s
0.8; 0.25; 9; 11.915; 127.532s
0.8; 0.25; 9; 10.48; 128.445s
0.8; 0.25; 9; 10.655; 126.076s
0.8; 0.25; 8; 11.595; 159.809s
0.8; 0.25; 9; 10.855; 129.688s
0.9; 0.05; 9; 10.395; 121.307s
0.9; 0.05; 9; 11.06; 145.505s
0.9; 0.05; 10; 10.395; 120.252s
0.9; 0.05; 9; 9.885; 118.507s
0.9; 0.05; 9; 10.155; 142.055s
0.9; 0.05; 10; 10.62; 113.677s
0.9; 0.1; 9; 11.165; 150.287s
0.9; 0.1; 9; 9.445; 120.588s
0.9; 0.1; 10; 10.34; 113.446s
0.9; 0.1; 10; 10.295; 103.789s
0.9; 0.1; 9; 9.985; 117.115s
0.9; 0.1; 10; 10.845; 113.086s
0.9; 0.15; 9; 10.185; 132.901s
0.9; 0.15; 9; 9.74; 129.875s
0.9; 0.15; 9; 10.465; 127.435s
0.9; 0.15; 10; 10.395; 101.9s
0.9; 0.15; 9; 9.6; 113.473s
0.9; 0.15; 9; 10.795; 132.009s
0.9; 0.2; 9; 9.26; 117.162s
0.9; 0.2; 9; 11.08; 122.809s
0.9; 0.2; 9; 10.225; 114.287s
0.9; 0.2; 9; 9.96; 110.775s
0.9; 0.2; 9; 12.065; 135.521s
0.9; 0.2; 9; 11.53; 117.672s
0.9; 0.25; 9; 9.44; 110.208s
0.9; 0.25; 9; 11.02; 133.121s
0.9; 0.25; 8; 11.385; 157.574s
0.9; 0.25; 9; 10.515; 127.115s
0.9; 0.25; 9; 9.68; 117.411s
0.9; 0.25; 9; 10.205; 114.664s
