cx; mx; best; avg; time
0.7; 0.15; 9; 9.78; 167.69s
0.7; 0.15; 9; 11.82; 185.621s
0.7; 0.15; 10; 10.51; 177.541s
0.7; 0.15; 8; 10.975; 211.872s
0.7; 0.15; 10; 12.04; 195.871s
0.7; 0.2; 9; 10.22; 172.06s
0.7; 0.2; 9; 11; 185.556s
0.7; 0.2; 9; 10.245; 182.21s
0.7; 0.2; 9; 10.245; 177.78s
0.7; 0.2; 9; 10.935; 176.405s
0.7; 0.2; 10; 10.38; 175.418s
0.7; 0.25; 10; 11.68; 180.263s
0.7; 0.25; 9; 11.105; 219.207s
0.7; 0.25; 9; 10.49; 220.327s
0.7; 0.25; 9; 11.84; 220.412s
0.7; 0.25; 9; 11.805; 235.086s
0.7; 0.25; 9; 10.145; 172.488s
0.8; 0.05; 11; 11.07; 154.977s
0.8; 0.05; 10; 10.525; 167.234s
0.8; 0.05; 10; 10.4; 144.415s
0.8; 0.05; 11; 11.475; 152.253s
0.8; 0.05; 10; 10.455; 152.64s
0.8; 0.05; 10; 12.285; 203.961s
0.8; 0.1; 9; 11.33; 212.251s
0.8; 0.1; 10; 10.67; 153.023s
0.8; 0.1; 10; 11.16; 167.436s
0.8; 0.1; 9; 9.995; 138.184s
0.8; 0.1; 10; 10.1; 155.859s
0.8; 0.1; 10; 11.52; 169.901s
0.8; 0.15; 9; 9.71; 144.821s
0.8; 0.15; 9; 10.845; 157.031s
0.8; 0.15; 10; 10.565; 148.087s
0.8; 0.15; 9; 10.84; 156.303s
0.8; 0.15; 10; 10.59; 138.629s
0.8; 0.15; 10; 11.185; 144.531s
0.8; 0.2; 9; 9.985; 163.236s
0.8; 0.2; 9; 11.735; 196.378s
0.8; 0.2; 9; 10.005; 166.998s
0.8; 0.2; 9; 10.57; 187.423s
0.8; 0.2; 10; 10.23; 137.949s
0.8; 0.2; 9; 11.66; 189.215s
0.8; 0.25; 9; 9.39; 161.135s
0.8; 0.25; 9; 10.465; 144.542s
0.8; 0.25; 10; 10.6; 125.86s
0.8; 0.25; 10; 10.72; 139.402s
0.8; 0.25; 9; 11.6; 171.136s
0.8; 0.25; 9; 9.445; 149.115s
0.9; 0.05; 9; 11.185; 141.66s
0.9; 0.05; 10; 10.67; 137.642s
0.9; 0.05; 9; 10.27; 132.779s
0.9; 0.05; 10; 11.275; 162.033s
0.9; 0.05; 10; 11.005; 136.147s
0.9; 0.05; 9; 11.565; 158.189s
0.9; 0.1; 9; 12.145; 201.15s
0.9; 0.1; 10; 11.385; 140.889s
0.9; 0.1; 9; 10.17; 160.933s
0.9; 0.1; 9; 12.11; 181.923s
0.9; 0.1; 9; 11.07; 142.554s
0.9; 0.1; 10; 10.145; 123.754s
0.9; 0.15; 9; 10.83; 143.129s
0.9; 0.15; 10; 10.93; 130.252s
0.9; 0.15; 9; 12.495; 143.583s
0.9; 0.15; 9; 10.47; 127.923s
0.9; 0.15; 10; 10.56; 141.232s
0.9; 0.15; 9; 11.555; 126.923s
0.9; 0.2; 9; 12.015; 162.686s
0.9; 0.2; 9; 10.475; 122.85s
0.9; 0.2; 9; 10.86; 142.242s
0.9; 0.2; 8; 12.62; 170.096s
0.9; 0.2; 9; 9.925; 152.83s
0.9; 0.2; 10; 10.83; 122.812s
0.9; 0.25; 10; 10.915; 118.168s
0.9; 0.25; 10; 10.285; 117.736s
0.9; 0.25; 10; 10.255; 117.295s
0.9; 0.25; 9; 9.865; 139.853s
0.9; 0.25; 9; 11.01; 144.791s
0.9; 0.25; 10; 11.855; 139.492s
