temp; rate; best
100000; 0.9999; 18
100000; 0.9999; 16
100000; 0.9999; 16
100000; 0.9999; 15
100000; 0.9999; 16
100000; 0.9999; 17
100000; 0.9999; 16
100000; 0.9999; 17
100000; 0.9999; 15
100000; 0.9999; 16
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 8
100000; 0.9995; 9
100000; 0.9995; 9
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.999; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.995; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
100000; 0.99; 8
50000; 0.9999; 16
50000; 0.9999; 16
50000; 0.9999; 16
50000; 0.9999; 18
50000; 0.9999; 17
50000; 0.9999; 16
50000; 0.9999; 14
50000; 0.9999; 14
50000; 0.9999; 14
50000; 0.9999; 17
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.9995; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.999; 8
50000; 0.995; 7
50000; 0.995; 8
50000; 0.995; 8
50000; 0.995; 7
50000; 0.995; 8
50000; 0.995; 7
50000; 0.995; 8
50000; 0.995; 8
50000; 0.995; 8
50000; 0.995; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
50000; 0.99; 8
10000; 0.9999; 14
10000; 0.9999; 16
10000; 0.9999; 13
10000; 0.9999; 14
10000; 0.9999; 15
10000; 0.9999; 13
10000; 0.9999; 15
10000; 0.9999; 14
10000; 0.9999; 12
10000; 0.9999; 13
10000; 0.9995; 8
10000; 0.9995; 8
10000; 0.9995; 8
10000; 0.9995; 8
10000; 0.9995; 8
10000; 0.9995; 8
10000; 0.9995; 8
10000; 0.9995; 9
10000; 0.9995; 8
10000; 0.9995; 9
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.999; 8
10000; 0.995; 8
10000; 0.995; 8
10000; 0.995; 7
10000; 0.995; 8
10000; 0.995; 8
10000; 0.995; 8
10000; 0.995; 8
10000; 0.995; 8
10000; 0.995; 8
10000; 0.995; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
10000; 0.99; 8
