cp; mp; best; avg; time
0.7; 0.2; 12; 12.215; 269.839s
0.7; 0.2; 12; 12.48; 293.811s
0.7; 0.2; 12; 13.93; 291.449s
0.7; 0.2; 12; 16.44; 407.642s
0.7; 0.25; 10; 11.23; 308.114s
0.7; 0.25; 10; 12.865; 280.849s
0.7; 0.25; 11; 11.215; 251.972s
0.7; 0.25; 11; 11.27; 255.974s
0.7; 0.25; 11; 11.545; 258.35s
0.7; 0.25; 11; 11.89; 300.058s
0.7; 0.25; 11; 12.53; 301.799s
0.7; 0.25; 11; 12.835; 287.889s
0.7; 0.25; 12; 12.335; 292.274s
0.7; 0.25; 13; 17.4; 410.817s
0.8; 0.05; 11; 11.06; 264.242s
0.8; 0.05; 11; 11.89; 258.516s
0.8; 0.05; 11; 11.91; 287.711s
0.8; 0.05; 11; 15.86; 434.773s
0.8; 0.05; 12; 12.07; 238.967s
0.8; 0.05; 12; 12.13; 228.748s
0.8; 0.05; 12; 12.19; 285.069s
0.8; 0.05; 12; 13.575; 270.294s
0.8; 0.05; 13; 13.115; 277.325s
0.8; 0.05; 13; 13.145; 264.448s
0.8; 0.1; 11; 12.8; 330.238s
0.8; 0.1; 11; 16.39; 404.571s
0.8; 0.1; 12; 12.09; 218.988s
0.8; 0.1; 12; 12.12; 221.379s
0.8; 0.1; 12; 12.18; 243.627s
0.8; 0.1; 12; 12.195; 253.285s
0.8; 0.1; 12; 12.215; 240.465s
0.8; 0.1; 12; 12.245; 235.642s
0.8; 0.1; 12; 12.275; 229.999s
0.8; 0.1; 13; 13.4; 261.118s
0.8; 0.15; 11; 11.135; 223.973s
0.8; 0.15; 11; 11.15; 244.869s
0.8; 0.15; 11; 11.175; 208.664s
0.8; 0.15; 11; 11.72; 228.842s
0.8; 0.15; 11; 12.295; 257.81s
0.8; 0.15; 12; 12.185; 227.946s
0.8; 0.15; 12; 12.735; 222.362s
0.8; 0.15; 12; 12.85; 245.475s
0.8; 0.15; 12; 13.095; 279.91s
0.8; 0.15; 12; 16.73; 298.621s
0.8; 0.2; 10; 14.195; 314.018s
0.8; 0.2; 11; 11.2; 221.938s
0.8; 0.2; 11; 11.44; 250.313s
0.8; 0.2; 11; 11.58; 223.826s
0.8; 0.2; 11; 12.725; 263.568s
0.8; 0.2; 11; 13.655; 287.451s
0.8; 0.2; 11; 13.9; 269.159s
0.8; 0.2; 11; 16.14; 320.728s
0.8; 0.2; 12; 12.225; 214.209s
0.8; 0.2; 12; 13.015; 230.672s
0.8; 0.25; 11; 11.27; 230.962s
0.8; 0.25; 11; 11.275; 237.841s
0.8; 0.25; 11; 11.32; 204.366s
0.8; 0.25; 11; 11.325; 215.766s
0.8; 0.25; 11; 11.465; 226.302s
0.8; 0.25; 11; 12.275; 259.047s
0.8; 0.25; 11; 12.395; 219.411s
0.8; 0.25; 11; 12.455; 259.63s
0.8; 0.25; 12; 13.215; 284.982s
0.8; 0.25; 12; 16.61; 296.814s
0.9; 0.05; 10; 12.58; 270.346s
0.9; 0.05; 11; 12.6; 266.193s
0.9; 0.05; 11; 12.63; 252.701s
0.9; 0.05; 11; 13.13; 274.12s
0.9; 0.05; 12; 12.105; 212.664s
0.9; 0.05; 12; 12.47; 243.348s
0.9; 0.05; 12; 13.365; 226.27s
0.9; 0.05; 12; 16.58; 371.327s
0.9; 0.05; 13; 13.025; 216.15s
0.9; 0.05; 13; 13.06; 213.06s
0.9; 0.1; 11; 11.43; 200.733s
0.9; 0.1; 11; 11.68; 190.171s
0.9; 0.1; 11; 11.795; 247.42s
0.9; 0.1; 11; 12.57; 237.448s
0.9; 0.1; 12; 12.25; 195.42s
0.9; 0.1; 12; 12.255; 226.191s
0.9; 0.1; 12; 12.33; 194.273s
0.9; 0.1; 12; 12.655; 213.627s
0.9; 0.1; 12; 13.025; 218.473s
0.9; 0.1; 12; 16.81; 291.295s
0.9; 0.15; 10; 13.18; 217.478s
0.9; 0.15; 11; 11.14; 181.227s
0.9; 0.15; 11; 11.235; 207.239s
0.9; 0.15; 11; 11.31; 200.136s
0.9; 0.15; 11; 11.88; 235.208s
0.9; 0.15; 11; 12.695; 212.133s
0.9; 0.15; 12; 12.12; 177.061s
0.9; 0.15; 12; 12.435; 195.841s
0.9; 0.15; 12; 12.555; 188.405s
0.9; 0.15; 13; 17.18; 284.939s
0.9; 0.2; 10; 12.81; 209.55s
0.9; 0.2; 11; 11.175; 174.387s
0.9; 0.2; 11; 11.175; 195.477s
0.9; 0.2; 11; 11.19; 203.022s
0.9; 0.2; 11; 11.42; 199.477s
0.9; 0.2; 11; 12.705; 230.852s
0.9; 0.2; 11; 16.05; 284.176s
0.9; 0.2; 12; 12.14; 175.838s
0.9; 0.2; 12; 12.17; 186.225s
0.9; 0.2; 12; 12.285; 176.981s
0.9; 0.25; 11; 11.23; 197.211s
0.9; 0.25; 11; 11.245; 196.71s
0.9; 0.25; 11; 11.305; 172.079s
0.9; 0.25; 11; 11.37; 179.946s
0.9; 0.25; 11; 11.615; 179.543s
0.9; 0.25; 11; 11.78; 210.835s
0.9; 0.25; 11; 11.805; 184.12s
0.9; 0.25; 11; 12.27; 227.091s
0.9; 0.25; 11; 12.72; 209.108s
0.9; 0.25; 11; 16.01; 225.258s
