cp; mp; best; avg; time
0.5; 0.2; 9; 11.89; 194.075s
0.6; 0.05; 10; 10.655; 136.904s
0.6; 0.05; 10; 10.975; 163.502s
0.6; 0.05; 10; 10.995; 147.866s
0.6; 0.05; 9; 10.335; 134.741s
0.6; 0.05; 9; 10.4; 153.36s
0.6; 0.05; 9; 10.49; 164.734s
0.6; 0.05; 9; 10.685; 156.542s
0.6; 0.05; 9; 10.855; 178.784s
0.6; 0.05; 9; 11.15; 152.628s
0.6; 0.05; 9; 11.575; 196.584s
0.6; 0.1; 10; 10.885; 138.917s
0.6; 0.15; 10; 10.58; 127.639s
0.6; 0.15; 7; 8.71; 23.4858s
0.6; 0.15; 9; 10.855; 158.553s
0.6; 0.15; 9; 10.91; 147.062s
0.6; 0.15; 9; 11.305; 146.118s
0.6; 0.15; 9; 11.5; 148.499s
0.6; 0.15; 9; 11.68; 150.215s
0.6; 0.15; 9; 11.765; 158.887s
0.6; 0.15; 9; 12.085; 155.963s
0.6; 0.15; 9; 9.89; 138.872s
0.6; 0.1; 9; 10.275; 147.937s
0.6; 0.1; 9; 10.355; 145.451s
0.6; 0.1; 9; 10.415; 148.401s
0.6; 0.1; 9; 10.43; 160.529s
0.6; 0.1; 9; 10.7; 155.925s
0.6; 0.1; 9; 11.31; 159.187s
0.6; 0.1; 9; 11.46; 164.139s
0.6; 0.1; 9; 11.635; 178.952s
0.6; 0.1; 9; 11.665; 143.593s
0.6; 0.2; 10; 11.58; 129.57s
0.6; 0.25; 9; 10.37; 128.805s
0.6; 0.25; 9; 10.495; 139.682s
0.6; 0.25; 9; 10.67; 144.135s
0.6; 0.25; 9; 10.77; 140.301s
0.6; 0.25; 9; 10.8; 136.9s
0.6; 0.25; 9; 10.88; 130.041s
0.6; 0.25; 9; 10.89; 152.974s
0.6; 0.25; 9; 11.065; 137.934s
0.6; 0.25; 9; 11.52; 148.002s
0.6; 0.25; 9; 11.715; 143.3s
0.6; 0.2; 9; 10.585; 139.237s
0.6; 0.2; 9; 10.91; 132.502s
0.6; 0.2; 9; 11.03; 148.328s
0.6; 0.2; 9; 11.11; 152.606s
0.6; 0.2; 9; 11.195; 158.397s
0.6; 0.2; 9; 11.2; 152.494s
0.6; 0.2; 9; 11.465; 142.078s
0.6; 0.2; 9; 11.545; 161.005s
0.6; 0.2; 9; 12.33; 140.488s
0.7; 0.05; 10; 10.675; 117.077s
0.7; 0.05; 9; 10.085; 118.835s
0.7; 0.05; 9; 10.455; 136.799s
0.7; 0.05; 9; 10.615; 134.075s
0.7; 0.05; 9; 10.64; 140.685s
0.7; 0.05; 9; 10.73; 145.169s
0.7; 0.05; 9; 10.755; 124.26s
0.7; 0.05; 9; 10.775; 124.231s
0.7; 0.05; 9; 11.42; 123.844s
0.7; 0.05; 9; 9.875; 121.2s
0.7; 0.1; 10; 10.95; 122.078s
0.7; 0.15; 9; 10.565; 113.374s
0.7; 0.15; 9; 10.835; 137.334s
0.7; 0.15; 9; 10.875; 120.858s
0.7; 0.15; 9; 10.885; 129.512s
0.7; 0.15; 9; 10.95; 132.243s
0.7; 0.15; 9; 11.23; 121.183s
0.7; 0.15; 9; 11.765; 119.424s
0.7; 0.15; 9; 9.56; 113.684s
0.7; 0.15; 9; 9.59; 107.974s
0.7; 0.15; 9; 9.695; 118.675s
0.7; 0.1; 8; 10.355; 138.017s
0.7; 0.1; 9; 10.05; 117.078s
0.7; 0.1; 9; 10.11; 118.837s
0.7; 0.1; 9; 10.63; 136.539s
0.7; 0.1; 9; 10.955; 122.081s
0.7; 0.1; 9; 11.09; 134.389s
0.7; 0.1; 9; 9.215; 116.737s
0.7; 0.1; 9; 9.76; 115.756s
0.7; 0.1; 9; 9.975; 122.53s
0.7; 0.25; 8; 10.765; 115.135s
0.7; 0.25; 9; 10.025; 116.411s
0.7; 0.25; 9; 10.655; 118.056s
0.7; 0.25; 9; 10.715; 113.38s
0.7; 0.25; 9; 10.785; 122.166s
0.7; 0.25; 9; 10.855; 120.306s
0.7; 0.25; 9; 10.86; 118.219s
0.7; 0.25; 9; 9.865; 109.861s
0.7; 0.25; 9; 9.865; 121.617s
0.7; 0.25; 9; 9.93; 120.063s
0.7; 0.2; 7; 10.205; 92.4614s
0.7; 0.2; 8; 10.375; 113.558s
0.7; 0.2; 9; 10.035; 115.845s
0.7; 0.2; 9; 10.61; 107.44s
0.7; 0.2; 9; 10.815; 125.973s
0.7; 0.2; 9; 10.85; 116.136s
0.7; 0.2; 9; 11.115; 126.173s
0.7; 0.2; 9; 9.575; 113.089s
0.7; 0.2; 9; 9.605; 122.168s
0.7; 0.2; 9; 9.955; 109.623s
0.8; 0.05; 8; 9.655; 110.09s
0.8; 0.05; 9; 10.075; 126.433s
0.8; 0.05; 9; 10.205; 107.181s
0.8; 0.05; 9; 10.4; 117.966s
0.8; 0.05; 9; 10.44; 117.703s
0.8; 0.05; 9; 10.64; 116.667s
0.8; 0.05; 9; 10.845; 112s
0.8; 0.05; 9; 11.28; 125.214s
0.8; 0.05; 9; 9.06; 101.475s
0.8; 0.05; 9; 9.615; 107.605s
0.8; 0.15; 9; 10.105; 108.808s
0.8; 0.15; 9; 10.59; 97.8594s
0.8; 0.15; 9; 10.905; 112.265s
0.8; 0.15; 9; 10.94; 107.741s
0.8; 0.15; 9; 10.97; 106.773s
0.8; 0.15; 9; 11.09; 110.753s
0.8; 0.15; 9; 11.16; 106.54s
0.8; 0.15; 9; 11.195; 100.452s
0.8; 0.15; 9; 11.365; 110.131s
0.8; 0.15; 9; 9.69; 103.692s
0.8; 0.1; 9; 10.015; 103.015s
0.8; 0.1; 9; 10.065; 100.816s
0.8; 0.1; 9; 10.725; 112.568s
0.8; 0.1; 9; 11.095; 120.437s
0.8; 0.1; 9; 11.185; 119.317s
0.8; 0.1; 9; 11.23; 111.26s
0.8; 0.1; 9; 9.4; 100.137s
0.8; 0.1; 9; 9.66; 101.296s
0.8; 0.1; 9; 9.68; 101.123s
0.8; 0.1; 9; 9.785; 104.508s
0.8; 0.25; 8; 10.1; 100.962s
0.8; 0.25; 9; 10.045; 95.0433s
0.8; 0.25; 9; 10.46; 98.7979s
0.8; 0.25; 9; 10.475; 103.396s
0.8; 0.25; 9; 10.61; 90.0345s
0.8; 0.25; 9; 11.115; 99.0032s
0.8; 0.25; 9; 9.71; 93.1979s
0.8; 0.25; 9; 9.745; 92.7784s
0.8; 0.25; 9; 9.825; 99.9334s
0.8; 0.25; 9; 9.835; 92.4771s
0.8; 0.2; 9; 10.265; 101.37s
0.8; 0.2; 9; 10.52; 96.5732s
0.8; 0.2; 9; 10.57; 98.287s
0.8; 0.2; 9; 10.695; 102.641s
0.8; 0.2; 9; 10.9; 108.143s
0.8; 0.2; 9; 11.36; 104.598s
0.8; 0.2; 9; 11.58; 96.8883s
0.8; 0.2; 9; 9.335; 94.5138s
0.8; 0.2; 9; 9.765; 92.044s
0.8; 0.2; 9; 9.87; 102.275s
0.9; 0.05; 10; 10.265; 86.1836s
0.9; 0.05; 10; 10.2; 89.2633s
0.9; 0.05; 10; 10.32; 92.0126s
0.9; 0.05; 9; 10.005; 97.6642s
0.9; 0.05; 9; 10.015; 107.361s
0.9; 0.05; 9; 10.05; 105.119s
0.9; 0.05; 9; 10.8; 109.622s
0.9; 0.05; 9; 11.18; 97.4094s
0.9; 0.05; 9; 9.335; 90.9802s
0.9; 0.05; 9; 9.52; 97.0817s
0.9; 0.1; 10; 10.725; 90.1034s
0.9; 0.15; 9; 10.05; 95.5393s
0.9; 0.15; 9; 10.42; 101.101s
0.9; 0.15; 9; 10.44; 96.7171s
0.9; 0.15; 9; 10.455; 92.9728s
0.9; 0.15; 9; 10.565; 96.606s
0.9; 0.15; 9; 9.81; 88.5816s
0.9; 0.15; 9; 9.855; 85.7818s
0.9; 0.15; 9; 9.855; 97.7849s
0.9; 0.15; 9; 9.935; 82.5169s
0.9; 0.15; 9; 9.985; 92.3013s
0.9; 0.1; 8; 10.775; 93.8342s
0.9; 0.1; 8; 9.78; 100.551s
0.9; 0.1; 9; 10.315; 97.0082s
0.9; 0.1; 9; 10.355; 97.3861s
0.9; 0.1; 9; 10.81; 83.1724s
0.9; 0.1; 9; 11.33; 93.2288s
0.9; 0.1; 9; 9.155; 82.6532s
0.9; 0.1; 9; 9.155; 95.319s
0.9; 0.1; 9; 9.64; 93.9812s
0.9; 0.25; 12; 13.37; 69.692s
0.9; 0.25; 7; 8.65; 33.232s
0.9; 0.25; 7; 9.06; 41.1813s
0.9; 0.25; 7; 9.17; 61.4057s
0.9; 0.25; 9; 11.165; 79.0909s
0.9; 0.25; 9; 9.48; 84.9305s
0.9; 0.25; 9; 9.51; 81.4028s
0.9; 0.25; 9; 9.615; 86.151s
0.9; 0.25; 9; 9.745; 89.3797s
0.9; 0.25; 9; 9.885; 87.058s
0.9; 0.2; 7; 8.85; 28.4464s
0.9; 0.2; 7; 9.07; 26.9444s
0.9; 0.2; 9; 10.005; 95.2327s
0.9; 0.2; 9; 10.305; 93.7975s
0.9; 0.2; 9; 10.34; 89.4512s
0.9; 0.2; 9; 10.575; 78.4146s
0.9; 0.2; 9; 11.14; 93.8713s
0.9; 0.2; 9; 9.54; 88.8478s
0.9; 0.2; 9; 9.94; 86.4333s
0.9; 0.2; 9; 9.995; 83.6629s
