iteration; levels; best; avg; dev
65; 51; 64; 68.735; 1.02618
66; 52; 64; 68.6214; 1.01914
67; 52; 64; 68.5145; 1.0035
68; 53; 64; 68.5074; 1.00291
69; 54; 63; 68.3856; 0.999739
70; 54; 63; 68.2544; 1.01901
71; 54; 63; 68.2583; 1.02763
72; 55; 63; 68.2513; 1.02552
73; 56; 63; 68.1273; 1.01843
74; 57; 63; 68.0196; 1.00003
75; 58; 63; 67.9205; 0.983394
76; 58; 63; 67.8204; 0.971391
77; 59; 62; 67.8112; 0.971608
78; 59; 62; 67.655; 0.999491
79; 60; 62; 67.647; 1.00828
80; 61; 62; 67.5408; 0.990123
81; 61; 62; 67.4167; 0.974377
82; 62; 62; 67.3907; 0.974285
83; 63; 61; 67.2873; 0.960518
84; 63; 61; 67.1463; 0.983473
85; 63; 61; 67.1271; 0.984349
86; 64; 61; 67.1178; 0.981661
87; 64; 61; 67.0057; 0.975034
88; 65; 60; 66.9818; 0.986674
89; 65; 60; 66.8518; 0.983765
90; 66; 60; 66.8472; 0.998676
91; 66; 60; 66.7121; 0.995054
92; 67; 60; 66.6899; 1.00736
93; 67; 60; 66.5809; 1.00313
94; 67; 60; 66.565; 1.00429
95; 67; 60; 66.5527; 1.00682
96; 68; 60; 66.5477; 1.00692
97; 68; 60; 66.4421; 0.994226
98; 68; 60; 66.4318; 0.998572
99; 68; 60; 66.4237; 1.0008
100; 68; 60; 66.4027; 1.00839
iteration; levels; best; avg; dev
0; 1; 81; 0; 0
1; 1; 81; 81; 0
2; 2; 80; 85; 4
3; 3; 79; 82.5; 4
4; 3; 79; 81.3333; 2.66667
5; 4; 76; 81.3333; 2.22222
6; 4; 76; 79.625; 2.02206
7; 5; 74; 79.9; 2.20552
8; 5; 74; 78.7333; 1.79017
9; 5; 74; 78.7429; 1.69801
10; 6; 73; 78.75; 1.67189
11; 7; 73; 77.8519; 1.53101
12; 8; 73; 77.1381; 1.32941
13; 9; 72; 76.6504; 1.15225
14; 9; 72; 76.063; 1.05126
15; 9; 72; 76.0037; 1.02831
16; 10; 72; 75.9894; 1.02472
17; 10; 72; 75.6127; 0.920655
18; 11; 72; 75.6721; 0.950306
19; 12; 72; 75.3357; 0.857067
20; 12; 71; 75.0473; 0.772431
21; 13; 71; 74.9232; 0.902255
22; 13; 71; 74.6133; 0.82759
23; 14; 71; 74.5885; 0.815895
24; 15; 70; 74.3398; 0.751541
25; 15; 70; 74.0087; 0.725406
26; 15; 70; 73.9986; 0.726888
27; 16; 70; 74.006; 0.715678
28; 16; 70; 73.7619; 0.663557
29; 16; 70; 73.7581; 0.657432
30; 16; 70; 73.7598; 0.651443
31; 16; 70; 73.7605; 0.647314
32; 16; 70; 73.7571; 0.648706
33; 17; 70; 73.7542; 0.647999
34; 17; 70; 73.5358; 0.605158
35; 18; 70; 73.5342; 0.601476
36; 19; 70; 73.3394; 0.562501
37; 20; 70; 73.152; 0.541239
38; 21; 70; 72.9965; 0.511251
39; 22; 70; 72.8532; 0.483251
40; 23; 70; 72.7248; 0.457326
41; 23; 70; 72.6025; 0.434182
42; 24; 69; 72.6004; 0.432143
43; 24; 69; 72.4079; 0.493765
44; 24; 69; 72.425; 0.51752
45; 24; 69; 72.401; 0.520782
46; 25; 69; 72.3998; 0.521021
47; 26; 69; 72.2623; 0.499136
48; 27; 69; 72.1218; 0.483168
49; 27; 68; 71.9987; 0.461338
50; 28; 68; 71.9461; 0.513929
51; 28; 68; 71.8081; 0.493922
52; 28; 68; 71.7793; 0.516039
53; 29; 68; 71.7952; 0.535197
54; 29; 68; 71.6524; 0.518705
55; 29; 68; 71.6315; 0.524292
56; 30; 68; 71.6166; 0.528805
57; 31; 68; 71.4839; 0.510901
58; 32; 68; 71.3547; 0.493264
59; 32; 68; 71.2365; 0.500335
60; 33; 67; 71.2274; 0.497606
61; 33; 67; 71.0705; 0.507197
62; 34; 67; 71.0835; 0.518488
63; 34; 67; 70.9608; 0.500992
64; 35; 67; 70.9467; 0.498441
65; 35; 67; 70.83; 0.480493
66; 36; 66; 70.8255; 0.475069
67; 36; 66; 70.6626; 0.493138
68; 37; 66; 70.6691; 0.508836
69; 37; 66; 70.5418; 0.49324
70; 37; 66; 70.5367; 0.493301
71; 38; 66; 70.5322; 0.491057
72; 38; 66; 70.4094; 0.476755
73; 38; 66; 70.3973; 0.480016
74; 39; 66; 70.3956; 0.479236
75; 40; 66; 70.2812; 0.465558
76; 40; 66; 70.1665; 0.45112
77; 40; 66; 70.1585; 0.45392
78; 41; 66; 70.1388; 0.471261
79; 41; 66; 70.0351; 0.460361
80; 41; 66; 70.0339; 0.457737
81; 41; 66; 70.0246; 0.469044
82; 41; 66; 70.019; 0.471091
83; 42; 66; 70.0162; 0.469947
84; 42; 66; 69.9158; 0.465402
85; 42; 66; 69.9085; 0.468569
86; 42; 66; 69.9075; 0.468334
87; 43; 66; 69.9051; 0.467457
88; 43; 66; 69.8079; 0.45702
89; 43; 66; 69.8056; 0.456155
90; 44; 66; 69.8023; 0.456344
91; 44; 66; 69.7122; 0.447036
92; 45; 66; 69.7087; 0.445811
93; 46; 66; 69.6236; 0.436127
94; 47; 66; 69.5427; 0.425141
95; 48; 66; 69.4655; 0.41524
96; 49; 66; 69.3821; 0.419413
97; 49; 66; 69.3121; 0.410541
98; 50; 66; 69.3101; 0.411487
99; 51; 66; 69.2383; 0.409206
100; 51; 66; 69.1724; 0.402699
101; 51; 66; 69.1673; 0.407064
102; 52; 66; 69.164; 0.408561
103; 53; 66; 69.1016; 0.401399
104; 54; 66; 69.0387; 0.39619
105; 54; 66; 68.9803; 0.389248
106; 55; 66; 68.977; 0.391299
107; 55; 66; 68.9191; 0.386644
