iteration; levels; best; avg; dev
64; 46; 57; 61.1455; 0.65539
65; 46; 56; 61.044; 0.641206
66; 47; 56; 61.016; 0.670089
67; 47; 56; 60.8857; 0.666592
68; 48; 56; 60.88; 0.679038
69; 49; 56; 60.7633; 0.663892
70; 50; 56; 60.6533; 0.648002
71; 51; 56; 60.5465; 0.640009
72; 51; 56; 60.4344; 0.644653
73; 52; 56; 60.4136; 0.653876
74; 53; 56; 60.3225; 0.641057
75; 53; 56; 60.23; 0.629798
76; 54; 56; 60.2198; 0.630101
77; 54; 56; 60.1323; 0.619287
78; 54; 56; 60.1263; 0.617378
79; 55; 56; 60.12; 0.616437
80; 56; 56; 60.0388; 0.605785
81; 57; 56; 59.9564; 0.5963
82; 57; 56; 59.8837; 0.583784
83; 58; 56; 59.8759; 0.583841
84; 58; 56; 59.7999; 0.577368
85; 59; 55; 59.793; 0.579549
86; 59; 55; 59.6889; 0.602303
87; 60; 55; 59.6968; 0.609641
88; 60; 55; 59.6164; 0.598642
89; 60; 55; 59.6127; 0.597239
90; 60; 55; 59.61; 0.59536
91; 60; 55; 59.6049; 0.595727
92; 60; 55; 59.6008; 0.594935
93; 60; 55; 59.5972; 0.595912
94; 61; 55; 59.5709; 0.627561
95; 61; 55; 59.4907; 0.616851
96; 62; 55; 59.4958; 0.624315
97; 63; 55; 59.4098; 0.614703
98; 63; 55; 59.3307; 0.604324
99; 63; 55; 59.3119; 0.614805
iteration; levels; best; avg; dev
0; 1; 84; 0; 0
1; 1; 80; 84; 0
2; 1; 80; 82; 2
3; 1; 80; 82; 4
4; 2; 73; 82; 6
5; 2; 73; 77.5; 4
6; 3; 73; 79.75; 5.25
7; 4; 71; 77; 3.83088
8; 4; 71; 75.4375; 2.682
9; 5; 69; 75.6333; 2.56999
10; 5; 69; 73.8667; 2.21232
11; 6; 69; 73.9857; 2.18506
12; 7; 69; 73.0853; 1.78591
13; 8; 69; 72.4512; 1.45752
14; 9; 68; 71.9757; 1.18349
15; 10; 67; 71.4217; 1.15384
16; 11; 67; 70.9208; 1.03118
17; 11; 67; 70.5646; 0.972115
18; 12; 66; 70.4867; 1.03929
19; 13; 65; 70.0086; 0.994487
20; 13; 65; 69.5522; 0.950914
21; 13; 65; 69.5352; 0.935791
22; 14; 65; 69.5385; 0.925932
23; 15; 64; 69.1511; 0.946081
24; 16; 64; 68.7626; 0.932581
25; 17; 63; 68.4267; 0.886792
26; 17; 63; 67.9753; 0.958512
27; 17; 63; 67.9944; 0.988109
28; 18; 63; 67.9471; 1.01982
29; 19; 63; 67.6616; 0.955779
30; 20; 62; 67.3817; 0.905043
31; 21; 62; 67.0551; 0.887453
32; 22; 62; 66.8295; 0.847355
33; 23; 62; 66.5728; 0.839979
34; 24; 62; 66.3526; 0.800035
35; 25; 62; 66.1338; 0.774904
36; 26; 61; 65.9464; 0.742886
37; 27; 61; 65.7001; 0.761556
38; 28; 61; 65.4963; 0.733446
39; 28; 60; 65.3271; 0.70249
40; 28; 60; 65.2871; 0.732259
41; 28; 60; 65.2631; 0.735582
42; 28; 60; 65.2359; 0.768623
43; 28; 60; 65.234; 0.763555
44; 28; 60; 65.2007; 0.77495
45; 28; 60; 65.1845; 0.774573
46; 28; 60; 65.1791; 0.767876
47; 28; 60; 65.1563; 0.76934
48; 29; 60; 65.1383; 0.770776
49; 30; 60; 64.9328; 0.771603
50; 31; 59; 64.7496; 0.744991
51; 32; 59; 64.5421; 0.730441
52; 33; 59; 64.3735; 0.726135
53; 34; 59; 64.1732; 0.742297
54; 35; 59; 63.9959; 0.726419
55; 36; 58; 63.833; 0.712214
56; 37; 58; 63.6277; 0.731308
57; 38; 58; 63.4023; 0.769029
58; 38; 58; 63.2518; 0.747841
59; 39; 58; 63.2427; 0.745104
60; 40; 58; 63.083; 0.731427
61; 41; 58; 62.9477; 0.710234
62; 41; 58; 62.8188; 0.69069
63; 42; 58; 62.8047; 0.693724
64; 42; 58; 62.6872; 0.675155
