temp; best; diff
0.0716894; 3644.29; -2014.48
0.0681929; 3644.29; -1104.37
0.064867; 3644.29; -2759.36
0.0617032; 3644.29; -3104.11
0.0586938; 3644.29; -1945.53
0.0558311; 3644.29; -738.093
0.053108; 3644.29; -3808.24
0.0505178; 3644.29; -1194.03
0.0480539; 3644.29; -1136.88
0.0457102; 3644.29; -2125.15
0.0434807; 3644.29; -2727.22
0.0413601; 3644.29; -764.744
0.0393428; 3644.29; -913.008
0.0374239; 3644.29; -2162.02
0.0355987; 3644.29; -2855.12
0.0338624; 3644.29; 0
0.0322108; 3644.29; -4940.33
0.0306398; 3644.29; -483.141
0.0291454; 3644.29; -3500.84
0.0277239; 3644.29; -3384.09
0.0263717; 3644.29; -8244.66
0.0250855; 3644.29; -277.541
0.023862; 3644.29; -242.82
0.0226982; 3644.29; -1170.94
0.0215911; 3644.29; -414.157
0.0205381; 3644.29; -1130.67
0.0195364; 3644.29; -649.703
0.0185835; 3644.29; -773.384
0.0176772; 3644.29; -2024.31
0.016815; 3644.29; -1699.23
0.0159949; 3644.29; -2219.55
0.0152148; 3644.29; -1224.56
0.0144727; 3644.29; -3633.06
0.0137668; 3644.29; -1639.49
0.0130954; 3644.29; -680.674
0.0124567; 3644.29; -1213.37
0.0118491; 3644.29; 0
0.0112712; 3644.29; -1368.88
0.0107215; 3644.29; -1747.29
0.0101986; 3644.29; -306.012
0.00970114; 3644.29; -2365.7
0.00922799; 3644.29; -1707.67
0.00877791; 3644.29; -897.064
0.00834978; 3644.29; -1095.1
0.00794254; 3644.29; -1937.89
0.00755516; 3644.29; -198.036
0.00718667; 3644.29; -2578.56
0.00683616; 3644.29; -1579.98
0.00650274; 3644.29; -365.722
0.00618558; 3644.29; -1195.54
0.00588389; 3644.29; -107.517
0.00559692; 3644.29; -3664.66
0.00532394; 3644.29; -2698.32
0.00506427; 3644.29; -199.884
0.00481727; 3644.29; -2486.89
0.00458232; 3644.29; -1829.02
0.00435883; 3644.29; -1663.54
0.00414624; 3644.29; -1399.56
0.00394401; 3644.29; 0
0.00375165; 3644.29; -1829.02
0.00356867; 3644.29; -1324.44
0.00339462; 3644.29; -1477.02
0.00322905; 3644.29; -88.9637
0.00307156; 3644.29; -233.475
0.00292175; 3644.29; -2503.41
0.00277925; 3644.29; -4601.96
0.0026437; 3644.29; -5607.17
0.00251476; 3644.29; -2983.63
0.0023921; 3644.29; -643.382
0.00227543; 3644.29; -760.362
0.00216445; 3644.29; -1613.58
0.00205889; 3644.29; -774.26
0.00195847; 3644.29; -1832.52
0.00186295; 3644.29; -1430.32
0.00177209; 3644.29; -1583.97
0.00168566; 3644.29; -1524.09
0.00160344; 3644.29; -2279.2
0.00152524; 3644.29; -4929.92
0.00145085; 3644.29; -71.5687
0.00138009; 3644.29; -3125.07
0.00131278; 3644.29; -6749.06
0.00124875; 3644.29; -1051.42
0.00118784; 3644.29; 0
0.00112991; 3644.29; -2280.87
0.0010748; 3644.29; -2589.38
0.00102238; 3644.29; -1007.46
0.000972513; 3644.29; -2692.9
0.000925081; 3644.29; -6856.06
0.000879962; 3644.29; -1007.46
