gen; best; worst; avg; dev
5750; 9; 23; 10.61; 3.53099
5760; 9; 24; 11.235; 3.90382
5770; 9; 24; 10.655; 3.5533
5780; 9; 24; 10.8; 3.5
5790; 9gen; best; avg; dev
0; 20; 23.28; 0.7494
0; 19; 22.745; 0.781009
10; 18; 18.705; 0.64651
20; 15; 16.45; 0.646142
30; 14; 15.35; 0.563471
40; 14; 14.865; 0.690489
50; 13; 14.31; 0.658711
60; 13; 13.655; 0.75893
70; 13; 13.315; 0.534579
80; 12; 13.305; 0.609898
90; 12; 12.525; 0.662854
100; 12; 12.335; 0.568133
110; 11; 12.445; 0.653433
120; 12; 12.225; 0.473682
130; 11; 12.23; 0.486929
140; 11; 11.885; 0.633857
150; 11; 11.305; 0.481638
160; 10; 11.26; 0.482079
170; 10; 11.07; 0.5245
180; 10; 10.6; 0.663325
190; 10; 10.51; 0.640234
200; 9; 10.22; 0.448999
210; 10; 10.28; 0.481248
220; 10; 10.26; 0.482079
230; 9; 9.92; 0.627375
240; 9; 9.96; 1.07163
250; 9; 10.35; 1.63631
260; 9; 10.125; 1.62153
270; 9; 10.34; 2.0529
280; 9; 10.285; 2.14564
290; 9; 10.67; 2.50222
300; 9; 10.39; 2.35964
310; 9; 9.89; 1.95906
320; 9; 9.785; 1.93618
330; 9; 9.925; 1.98982
340; 9; 9.855; 1.86922
350; 9; 9.73; 1.8966
360; 9; 9.745; 1.88148
370; 9; 10.01; 2.00746
380; 9; 9.92; 1.99088
390; 9; 9.88; 2.18989
400; 9; 9.985; 2.2638
410; 9; 10.005; 2.39269
420; 9; 10.325; 2.6018
430; 9; 10.365; 2.75169
440; 9; 10.455; 2.73093
450; 9; 10.5; 3.06105
460; 9; 9.755; 2.031
470; 9; 9.775; 2.04802
480; 9; 9.905; 2.12508
490; 9; 9.97; 2.15618
500; 9; 9.94; 2.26195
510; 9; 9.94; 2.18778
520; 9; 9.94; 2.2905
530; 9; 10.01; 2.3345
540; 9; 9.955; 2.40894
550; 9; 10.295; 2.75644
560; 9; 10.13; 2.65577
570; 9; 10.245; 2.65424
580; 9; 10.265; 2.76311
590; 9; 10.03; 2.67004
