gen; best; avg; dev
3150; 47; 47.25; 0.455522
3160; 47; 47.21; 0.407308
3170; 47; 47.245; 0.430087
3180; 47; 47.14; 0.361109
3190; 47; 47.21; 0.407308
3200; 47; 47.16; 0.366606
3210; 46; 47.145; 0.451636
3220; 46; 46.265; 0.484536
3230; 46; 46.175; 0.392906
3240; 46; 46.17; 0.388716
3250; 46; 46.205; 0.403702
3260; 46; 46.165; 0.371181
3270; 46; 46.18; 0.396989
3280; 46; 46.185; 0.400968
3290; 46; 46.165; 0.371181
3300; 46; 46.2; 0.412311
3310; 46; 46.185; 0.400968
3320; 46; 46.14; 0.346987
3330; 46; 46.275; 0.48926
3340; 46; 46.235; 0.435632
3350; 46; 46.175; 0.379967
3360; 46; 46.145; 0.366026
3370; 46; 46.205; 0.403702
3380; 46; 46.23; 0.443959
3390; 46; 46.195; 0.396201
3400; 46; 46.14; 0.346987
3410; 46; 46.135; 0.341724
3420; 46; 46.19; 0.404846
3430; 46; 46.335; 0.492722
3440; 46; 46.225; 0.429389
3450; 46; 46.2; 0.412311
3460; 46; 46.26; 0.492341
3470; 46; 46.19; 0.392301
3480; 46; 46.225; 0.452079
3490; 46; 46.205; 0.403702
3500; 46; 46.215; 0.410822
3510; 46; 46.145; 0.352101
3520; 46; 46.165; 0.384415
3530; 46; 46.38; 0.561783
3540; 46; 46.16; 0.366606
3550; 46; 46.17; 0.375633
3560; 46; 46.175; 0.405432
3570; 46; 46.235; 0.458012
3580; 46; 46.165; 0.409603
3590; 46; 46.18; 0.40939
3600; 46; 46.21; 0.407308
3610; 46; 46.23; 0.432551
3620; 46; 46.16; 0.38
3630; 46; 46.23; 0.420833
3640; 46; 46.165; 0.384415
3650; 46; 46.17; 0.375633
3660; 46; 46.205; 0.415903
3670; 46; 46.19; 0.404846
3680; 46; 46.205; 0.403702
3690; 46; 46.185; 0.388298
3700; 46; 46.215; 0.410822
3710; 46; 46.2; 0.424264
3720; 46; 46.195; 0.396201
3730; 46; 46.235; 0.446962
3740; 46; 46.205; 0.415903
3750; 46; 46.22; 0.414246
3760; 46; 46.18; 0.384187
3770; 46; 46.18; 0.384187
3780; 46; 46.175; 0.379967
3790; 46; 46.195; 0.408626
3800; 46; 46.185; 0.400968
3810; 46; 46.2; 0.4
3820; 46; 46.175; 0.379967
3830; 46; 46.21; 0.431161
3840; 46; 46.195; 0.408626
3850; 46; 46.195; 0.396201
3860; 46; 46.17; 0.375633
3870; 46; 46.175; 0.379967
3880; 46; 46.16; 0.366606
3890; 46; 46.26; 0.460869
3900; 46; 46.14; 0.346987
3910; 46; 46.205; 0.427756
3920; 46; 46.16; 0.366606
3930; 46; 46.17; 0.375633
3940; 46; 46.31; 0.542125
3950; 46; 46.29; 0.495883
3960; 46; 46.16; 0.366606
3970; 46; 46.18; 0.384187
3980; 46; 46.26; 0.51225
3990; 46; 46.155; 0.361905
4000; 46; 46.19; 0.404846
4010; 46; 46.2; 0.4
4020; 46; 46.18; 0.384187
4030; 46; 46.18; 0.396989
4040; 46; 46.185; 0.388298
4050; 46; 46.19; 0.404846
4060; 46; 46.115; 0.319022
4070; 46; 46.265; 0.463438
4080; 46; 46.21; 0.431161
4090; 46; 46.145; 0.352101
4100; 46; 46.25; 0.466369
4110; 46; 46.18; 0.396989
4120; 46; 46.19; 0.392301
4130; 46; 46.175; 0.392906
4136; 46; 46.255; 0.45823
gen; best; avg; dev
0; 108; 115.235; 3.72824
0; 108; 113.005; 2.88184
10; 99; 101.81; 1.16786
20; 92; 94.62; 0.765245
30; 87; 89.655; 0.711319
40; 86; 86.585; 0.593949
50; 83; 84.295; 0.545871
60; 81; 82.11; 0.343366
70; 79; 80.3; 0.5
80; 77; 78.865; 0.562828
90; 76; 77.05; 0.357071
100; 74; 74.81; 0.594895
110; 73; 74.16; 0.38
120; 74; 74.15; 0.384057
130; 74; 74.18; 0.384187
140; 73; 74.12; 0.40694
150; 73; 73.21; 0.419404
160; 72; 73.11; 0.343366
170; 73; 73.125; 0.330719
180; 73; 73.135; 0.341724
190; 73; 73.145; 0.352101
200; 73; 73.065; 0.246526
210; 71; 72.16; 0.463033
220; 70; 70.92; 0.602993
230; 69; 69.54; 0.581722
240; 69; 69.13; 0.336303
250; 69; 69.135; 0.356055
260; 69; 69.155; 0.361905
270; 69; 69.155; 0.375466
280; 69; 69.125; 0.345507
290; 69; 69.165; 0.371181
300; 69; 69.08; 0.271293
310; 69; 69.16; 0.366606
320; 68; 69.15; 0.396863
330; 68; 69.135; 0.369831
340; 68; 68.12; 0.324962
350; 67; 68.14; 0.387814
360; 67; 67.175; 0.379967
370; 66; 67.125; 0.446514
380; 66; 66.145; 0.352101
390; 66; 66.17; 0.375633
400; 66; 66.14; 0.346987
410; 66; 66.155; 0.375466
420; 66; 66.215; 0.422818
