temp; best; diff
0.0291454; -115615; -25372.9
0.0277239; -115615; -3020.55
0.0263717; -115615; -35644.3
0.0250855; -115615; -15687.9
0.023862; -115615; -2326.01
0.0226982; -115615; -5109.21
0.0215911; -115615; -34108.8
0.0205381; -115615; -4507.98
0.0195364; -115615; -21513.7
0.0185835; -115615; -3929.49
0.0176772; -115615; -36532
0.016815; -115615; -20783.9
0.0159949; -115615; -22190.7
0.0152148; -115615; 0
0.0144727; -115615; -3629.59
0.0137668; -115615; -640.408
0.0130954; -115615; -25727.4
0.0124567; -115615; -19477.1
0.0118491; -115615; -28295.6
0.0112712; -115615; -19038.3
0.0107215; -115615; -22868.3
0.0101986; -115615; -19166.1
0.00970114; -115615; -1738.81
0.00922799; -115615; -16529.7
0.00877791; -115615; -16358.1
0.00834978; -115615; -6368.7
0.00794254; -115615; -2757.82
0.00755516; -115615; -1043.11
0.00718667; -115615; -5908.89
0.00683616; -115615; -6864.96
0.00650274; -115615; -14030.1
0.00618558; -115615; -21809.6
0.00588389; -115615; -1775.77
0.00559692; -115615; -22062
0.00532394; -115615; -25788.6
0.00506427; -115615; -5614.31
0.00481727; -115615; -14314
0.00458232; -115615; -20665.6
0.00435883; -115615; -23206.6
0.00414624; -115615; -32032.3
0.00394401; -115615; -31053.4
0.00375165; -115615; -5999.84
0.00356867; -115615; -3874.54
0.00339462; -115615; -720.087
0.00322905; -115615; -58800.2
0.00307156; -115615; -16086.9
0.00292175; -115615; -28390.1
0.00277925; -115615; -21028.5
0.0026437; -115615; -9744.69
0.00251476; -115615; -11211.1
0.0023921; -115615; -13526.6
0.00227543; -115615; -11298.9
0.00216445; -115615; -34414.4
0.00205889; -115615; -14977.5
0.00195847; -115615; -3598.77
0.00186295; -115615; -33383.7
0.00177209; -115615; -8326.33
0.00168566; -115615; -23135.8
0.00160344; -115615; -24888.4
0.00152524; -115615; -31154.3
0.00145085; -115615; -23635.8
0.00138009; -115615; -44295.3
0.00131278; -115615; -21015.5
0.00124875; -115615; -15024.8
0.00118784; -115615; -20411.4
0.00112991; -115615; -20662.1
0.0010748; -115615; -12775.1
0.00102238; -115615; -17276.3
0.000972513; -115615; -29079.5
0.000925081; -115615; -19316.3
0.000879962; -115615; -3236.38
0.000837044; -115615; -9849.83
0.000796218; -115615; -6510.72
0.000757384; -115615; -966.274
0.000720445; -115615; -17479.3
0.000685306; -115615; -1009.8
0.000651882; -115615; -34392
0.000620088; -115615; -11527.5
0.000589844; -115615; -29465.3
0.000561076; -115615; -19281.4
0.00053371; -115615; -7789.46
0.00050768; -115615; -34970.3
0.000482919; -115615; -3007.86
0.000459365; -115615; -24681.4
