it; best; temp
3430; 14; 0.00170662
3440; 14; 0.00162318
3450; 14; 0.00154383
3460; 14; 0.00146835
3470; 14; 0.00139656
3480; 14; 0.00132828
3490; 14; 0.00126334
3500; 14; 0.00120158
3510; 14; 0.00114283
3520; 14; 0.00108696
3530; 14; 0.00103382
3540; 14; 0.000983277
3550; 14; 0.000935205
3560; 14; 0.000889483
3570; 14; 0.000845996
3580; 14; 0.000804635
3590; 14; 0.000765297
3600; 14; 0.000727882
3610; 14; 0.000692295
3620; 14; 0.000658449
3630; 14; 0.000626258
3640; 14; 0.00059564
3650; 14; 0.000566519
3660; 14; 0.000538822
3670; 14; 0.000512479
3680; 14; 0.000487424
3690; 14; 0.000463594
3700; 14; 0.000440929
3710; 14; 0.000419372
3720; 14; 0.000398869
3730; 14; 0.000379368
3740; 14; 0.000360821
3750; 14; 0.000343181
3760; 14; 0.000326403
3770; 14; 0.000310445
3780; 14; 0.000295267
3790; 14; 0.000280832
3800; 14; 0.000267102
3810; 14; 0.000254043
3820; 14; 0.000241623
3830; 14; 0.00022981
3840; 14; 0.000218575
3850; 14; 0.000207889
3860; 14; 0.000197725
3870; 14; 0.000188058
3880; 14; 0.000178864
3890; 13; 0.00017012
3900; 13; 0.000161802
3910; 13; 0.000153892
3920; 13; 0.000146368
3930; 13; 0.000139212
3940; 13; 0.000132406
3950; 13; 0.000125933
3960; 13; 0.000119776
3970; 13; 0.00011392
3980; 13; 0.000108351
3990; 13; 0.000103053
4000; 13; 9.80151e-05
4010; 13; 9.32232e-05
4020; 13; 8.86655e-05
4030; 13; 8.43306e-05
4040; 13; 8.02077e-05
4050; 13; 7.62864e-05
4060; 13; 7.25568e-05
4070; 13; 6.90095e-05
4080; 13; 6.56356e-05
4090; 13; 6.24267e-05
4100; 13; 5.93746e-05
4110; 13; 5.64718e-05
4120; 13; 5.37109e-05
4130; 13; 5.1085e-05
4140; 13; 4.85875e-05
4150; 13; 4.6212e-05
4160; 13; 4.39527e-05
4170; 13; 4.18039e-05
4180; 13; 3.97601e-05
4190; 13; 3.78162e-05
4200; 13; 3.59674e-05
4210; 13; 3.4209e-05
4220; 13; 3.25365e-05
4230; 13; 3.09458e-05
4240; 13; 2.94329e-05
4250; 13; 2.79939e-05
4260; 13; 2.66253e-05
4270; 13; 2.53236e-05
4280; 13; 2.40855e-05
4290; 13; 2.2908e-05
4300; 13; 2.1788e-05
4310; 13; 2.07228e-05
4320; 13; 1.97096e-05
4330; 13; 1.8746e-05
4340; 13; 1.78296e-05
4350; 13; 1.69579e-05
4360; 13; 1.61288e-05
4370; 13; 1.53403e-05
4380; 13; 1.45903e-05
4390; 13; 1.3877e-05
4400; 13; 1.31985e-05
4410; 13; 1.25532e-05
4420; 13; 1.19395e-05
4430; 13; 1.13558e-05
4440; 13; 1.08006e-05
4450; 13; 1.02726e-05
4460; 13; 9.77035e-06
4470; 13; 9.29268e-06
4480; 13; 8.83836e-06
4490; 13; 8.40625e-06
4500; 13; 7.99527e-06
4510; 13; 7.60439e-06
4520; 13; 7.23261e-06
4530; 13; 6.87901e-06
4540; 13; 6.54269e-06
4550; 13; 6.22282e-06
4560; 13; 5.91859e-06
4570; 13; 5.62923e-06
4580; 13; 5.35402e-06
4590; 13; 5.09226e-06
4600; 13; 4.8433e-06
4610; 13; 4.60651e-06
4620; 13; 4.3813e-06
4630; 13; 4.1671e-06
4640; 13; 3.96337e-06
4650; 13; 3.7696e-06
4660; 13; 3.58531e-06
4670; 13; 3.41002e-06
4680; 13; 3.24331e-06
4690; 13; 3.08474e-06
4700; 13; 2.93393e-06
4710; 13; 2.79049e-06
4720; 13; 2.65406e-06
4730; 13; 2.52431e-06
4740; 13; 2.40089e-06
4750; 13; 2.28351e-06
4760; 13; 2.17187e-06
4770; 13; 2.06569e-06
4780; 13; 1.9647e-06
4790; 13; 1.86864e-06
4800; 13; 1.77729e-06
4810; 13; 1.6904e-06
4820; 13; 1.60775e-06
4830; 13; 1.52915e-06
4840; 13; 1.45439e-06
4850; 13; 1.38328e-06
4860; 13; 1.31566e-06
4870; 13; 1.25133e-06
4880; 13; 1.19016e-06
4890; 13; 1.13197e-06
4900; 13; 1.07663e-06
4910; 13; 1.02399e-06
4920; 13; 9.73929e-07
4930; 13; 9.26314e-07
4940; 13; 8.81026e-07
4950; 13; 8.37953e-07
4960; 13; 7.96986e-07
4970; 13; 7.58021e-07
4980; 13; 7.20962e-07
4990; 13; 6.85714e-07
5000; 13; 6.52189e-07
5010; 13; 6.20304e-07
5020; 13; 5.89977e-07
5030; 13; 5.61133e-07
5040; 13; 5.337e-07
5050; 13; 5.07607e-07
5060; 13; 4.8279e-07
5070; 13; 4.59187e-07
5080; 13; 4.36737e-07
5090; 13; 4.15385e-07
5100; 13; 3.95077e-07
5110; 13; 3.75762e-07
5120; 13; 3.57391e-07
5130; 13; 3.39918e-07
5140; 13; 3.233e-07
5150; 13; 3.07493e-07
5160; 13; 2.9246e-07
5170; 13; 2.78162e-07
5180; 13; 2.64562e-07
5190; 13; 2.51628e-07
5200; 13; 2.39326e-07
5210; 13; 2.27625e-07
5220; 13; 2.16497e-07
5230; 13; 2.05912e-07
5240; 13; 1.95845e-07
5250; 13; 1.8627e-07
5260; 13; 1.77164e-07
5270; 13; 1.68502e-07
5280; 13; 1.60264e-07
5290; 13; 1.52429e-07
5300; 13; 1.44977e-07
5310; 13; 1.37889e-07
5320; 13; 1.31147e-07
5330; 13; 1.24736e-07
5340; 13; 1.18637e-07
5350; 13; 1.12837e-07
5360; 13; 1.07321e-07
5370; 13; 1.02074e-07
5380; 13; 9.70833e-08
5390; 13; 9.23369e-08
5400; 13; 8.78225e-08
5410; 13; 8.35289e-08
5420; 13; 7.94452e-08
5430; 13; 7.55611e-08
5440; 13; 7.1867e-08
5450; 13; 6.83534e-08
5460; 13; 6.50116e-08
5470; 13; 6.18332e-08
5480; 13; 5.88102e-08
5490; 13; 5.5935e-08
5500; 13; 5.32003e-08
5510; 13; 5.05993e-08
5520; 13; 4.81256e-08
5530; 13; 4.57727e-08
5540; 13; 4.35349e-08
5550; 13; 4.14065e-08
5560; 13; 3.93821e-08
5570; 13; 3.74567e-08
5580; 13; 3.56255e-08
5590; 13; 3.38837e-08
5600; 13; 3.22272e-08
5610; 13; 3.06516e-08
5620; 13; 2.9153e-08
5630; 13; 2.77277e-08
5640; 13; 2.63721e-08
5650; 13; 2.50828e-08
5660; 13; 2.38565e-08
5670; 13; 2.26902e-08
5680; 13; 2.15809e-08
5690; 13; 2.05258e-08
5700; 13; 1.95223e-08
5710; 13; 1.85678e-08
5720; 13; 1.766e-08
5730; 13; 1.67967e-08
5740; 13; 1.59755e-08
5750; 13; 1.51944e-08
5760; 13; 1.44516e-08
5770; 13; 1.3745e-08
5780; 13; 1.3073e-08
5790; 13; 1.24339e-08
5800; 13; 1.1826e-08
5810; 13; 1.12478e-08
5820; 13; 1.06979e-08
5830; 13; 1.01749e-08
5840; 13; 9.67746e-09
5850; 13; 9.20433e-09
5860; 13; 8.75434e-09
5870; 13; 8.32634e-09
5880; 13; 7.91926e-09
5890; 13; 7.53209e-09
5900; 13; 7.16385e-09
5910; 13; 6.81361e-09
5920; 13; 6.48049e-09
5930; 13; 6.16366e-09
5940; 13; 5.86232e-09
5950; 13; 5.57571e-09
5960; 13; 5.30312e-09
5970; 13; 5.04385e-09
5980; 13; 4.79726e-09
5990; 13; 4.56272e-09
6000; 13; 4.33965e-09
6010; 13; 4.12748e-09
6020; 13; 3.92569e-09
6030; 13; 3.73376e-09
6040; 13; 3.55122e-09
6050; 13; 3.3776e-09
6060; 13; 3.21247e-09
6070; 13; 3.05541e-09
6080; 13; 2.90604e-09
6090; 13; 2.76396e-09
6100; 13; 2.62883e-09
6110; 13; 2.50031e-09
6120; 13; 2.37807e-09
6130; 13; 2.2618e-09
6140; 13; 2.15122e-09
6150; 13; 2.04605e-09
6160; 13; 1.94602e-09
6170; 13; 1.85088e-09
6180; 13; 1.76039e-09
6190; 13; 1.67433e-09
6200; 13; 1.59247e-09
6210; 13; 1.51461e-09
6220; 13; 1.44056e-09
6230; 13; 1.37013e-09
6240; 13; 1.30315e-09
6250; 13; 1.23944e-09
6260; 13; 1.17884e-09
6270; 13; 1.12121e-09
6280; 13; 1.06639e-09
6290; 13; 1.01426e-09
6300; 13; 9.6467e-10
6310; 13; 9.17507e-10
6320; 13; 8.7265e-10
6330; 13; 8.29987e-10
6340; 13; 7.89409e-10
6350; 13; 7.50815e-10
6360; 13; 7.14107e-10
6370; 13; 6.79195e-10
6380; 13; 6.45989e-10
6390; 13; 6.14407e-10
6400; 13; 5.84368e-10
6410; 13; 5.55799e-10
6420; 13; 5.28626e-10
6430; 13; 5.02781e-10
6440; 13; 4.782e-10
6450; 13; 4.54821e-10
6460; 13; 4.32585e-10
6470; 13; 4.11436e-10
6480; 13; 3.91321e-10
6490; 13; 3.72189e-10
6500; 13; 3.53993e-10
6510; 13; 3.36686e-10
6520; 13; 3.20226e-10
6530; 13; 3.0457e-10
6540; 13; 2.8968e-10
6550; 13; 2.75517e-10
6560; 13; 2.62047e-10
6570; 13; 2.49236e-10
6580; 13; 2.37051e-10
6590; 13; 2.25461e-10
6600; 13; 2.14439e-10
6610; 13; 2.03955e-10
6620; 13; 1.93983e-10
6630; 13; 1.845e-10
6640; 13; 1.75479e-10
6650; 13; 1.669e-10
6660; 13; 1.58741e-10
6670; 13; 1.5098e-10
6680; 13; 1.43598e-10
6690; 13; 1.36578e-10
6700; 13; 1.29901e-10
6710; 13; 1.2355e-10
6720; 13; 1.17509e-10
6730; 13; 1.11764e-10
6740; 13; 1.063e-10
6750; 13; 1.01103e-10
6760; 13; 9.61603e-11
6770; 13; 9.1459e-11
6780; 13; 8.69876e-11
6790; 13; 8.27348e-11
6800; 13; 7.86899e-11
6810; 13; 7.48428e-11
6820; 13; 7.11837e-11
6830; 13; 6.77036e-11
6840; 13; 6.43935e-11
6850; 13; 6.12453e-11
6860; 13; 5.82511e-11
6870; 13; 5.54032e-11
6880; 13; 5.26945e-11
6890; 13; 5.01183e-11
6900; 13; 4.7668e-11
6910; 13; 4.53375e-11
6920; 13; 4.3121e-11
6930; 13; 4.10128e-11
6940; 13; 3.90077e-11
6950; 13; 3.71006e-11
6960; 13; 3.52868e-11
6970; 13; 3.35616e-11
6980; 13; 3.19208e-11
6990; 13; 3.03602e-11
7000; 13; 2.88759e-11
7010; 13; 2.74641e-11
7020; 13; 2.61214e-11
7030; 13; 2.48444e-11
7040; 13; 2.36297e-11
7050; 13; 2.24745e-11
7060; 13; 2.13757e-11
7070; 13; 2.03306e-11
7080; 13; 1.93367e-11
7090; 13; 1.83913e-11
7100; 13; 1.74922e-11
7110; 13; 1.6637e-11
7120; 13; 1.58236e-11
7130; 13; 1.505e-11
7140; 13; 1.43142e-11
7150; 13; 1.36144e-11
7160; 13; 1.29488e-11
7170; 13; 1.23157e-11
7180; 13; 1.17136e-11
7190; 13; 1.11409e-11
7200; 13; 1.05962e-11
7210; 13; 1.00782e-11
7220; 13; 9.58546e-12
7230; 13; 9.11683e-12
7240; 13; 8.67111e-12
7250; 13; 8.24718e-12
7260; 13; 7.84398e-12
7270; 13; 7.46048e-12
7280; 13; 7.09574e-12
7290; 13; 6.74883e-12
7300; 13; 6.41888e-12
7310; 13; 6.10506e-12
7320; 13; 5.80659e-12
7330; 13; 5.52271e-12
7340; 13; 5.2527e-12
7350; 13; 4.9959e-12
7360; 13; 4.75165e-12
7370; 13; 4.51934e-12
7380; 13; 4.29839e-12
7390; 13; 4.08824e-12
7400; 13; 3.88837e-12
7410; 13; 3.69827e-12
7420; 13; 3.51746e-12
7430; 13; 3.34549e-12
7440; 13; 3.18193e-12
7450; 13; 3.02637e-12
7460; 13; 2.87841e-12
7470; 13; 2.73768e-12
7480; 13; 2.60384e-12
7490; 13; 2.47654e-12
7500; 13; 2.35546e-12
7510; 13; 2.2403e-12
7520; 13; 2.13077e-12
7530; 13; 2.0266e-12
7540; 13; 1.92752e-12
7550; 13; 1.83328e-12
7560; 13; 1.74365e-12
7570; 13; 1.65841e-12
7580; 13; 1.57733e-12
7590; 13; 1.50021e-12
7600; 13; 1.42687e-12
7610; 13; 1.35711e-12
7620; 13; 1.29076e-12
7630; 13; 1.22765e-12
7640; 13; 1.16763e-12
7650; 13; 1.11055e-12
7660; 13; 1.05625e-12
7670; 13; 1.00461e-12
