it; best; temp
2880; 10; 0.0268808
2890; 10; 0.0255666
2900; 10; 0.0243167
2910; 10; 0.0231278
2920; 10; 0.0219971
2930; 10; 0.0209217
2940; 10; 0.0198988
2950; 10; 0.018926
2960; 10; 0.0180007
2970; 10; 0.0171206
2980; 10; 0.0162836
2990; 9; 0.0154875
3000; 9; 0.0147303
3010; 9; 0.0140102
3020; 9; 0.0133252
3030; 9; 0.0126737
3040; 9; 0.0120541
3050; 9; 0.0114648
3060; 9; 0.0109043
3070; 9; 0.0103712
3080; 9; 0.00986413
3090; 9; 0.00938187
3100; 9; 0.00892319
3110; 9; 0.00848694
3120; 9; 0.00807201
3130; 9; 0.00767737
3140; 9; 0.00730203
3150; 9; 0.00694503
3160; 9; 0.00660549
3170; 9; 0.00628255
3180; 9; 0.0059754
3190; 9; 0.00568326
3200; 9; 0.00540541
3210; 9; 0.00514114
3220; 9; 0.00488979
3230; 9; 0.00465073
3240; 9; 0.00442335
3250; 9; 0.0042071
3260; 9; 0.00400141
3270; 9; 0.00380578
3280; 9; 0.00361972
3290; 9; 0.00344275
3300; 9; 0.00327444
3310; 9; 0.00311435
3320; 9; 0.00296209
3330; 9; 0.00281727
3340; 9; 0.00267954
3350; 9; 0.00254853
3360; 9; 0.00242394
3370; 9; 0.00230543
3380; 9; 0.00219272
3390; 9; 0.00208552
3400; 9; 0.00198356
3410; 9; 0.00188658
3420; 9; 0.00179435
3430; 9; 0.00170662
3440; 9; 0.00162318
3450; 9; 0.00154383
3460; 9; 0.00146835
3470; 9; 0.00139656
3480; 9; 0.00132828
3490; 9; 0.00126334
3500; 9; 0.00120158
3510; 9; 0.00114283
3520; 9; 0.00108696
3530; 9; 0.00103382
3540; 9; 0.000983277
3550; 9; 0.000935205
3560; 9; 0.000889483
3570; 9; 0.000845996
3580; 9; 0.000804635
3590; 9; 0.000765297
3600; 9; 0.000727882
3610; 9; 0.000692295
3620; 9; 0.000658449
3630; 9; 0.000626258
3640; 9; 0.00059564
3650; 9; 0.000566519
