iteration; subpops; biggest_subpop; best; avg; dev
5; 2; 4; 7; 7.875; 0.431454
6; 3; 8; 7; 7.91667; 0.729114
7; 3; 8; 7; 7.91667; 0.828334
8; 3; 8; 7; 7.91667; 0.903409
9; 3; 8; 7; 7.83333; 0.908762
10; 3; 8; 7; 7.75; 0.827212
11; 3; 8; 6; 7.33333; 0.647746
12; 3; 8; 5; 7.125; 0.437441
13; 3; 8; 5; 7.125; 0.437441
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 8; 8; 0
4; 2; 4; 8; 8; 0
5; 2; 4; 8; 8; 0
6; 2; 4; 8; 8; 0
7; 3; 8; 8; 8.04167; 0.23199
8; 3; 8; 8; 8.04167; 0.545023
9; 3; 8; 7; 7.875; 0.580331
10; 3; 8; 7; 7.70833; 0.680158
11; 3; 8; 6; 7.45833; 0.575007
12; 3; 8; 6; 7.375; 0.625132
13; 4; 16; 6; 7.54688; 0.727939
14; 4; 16; 5; 7.39062; 0.678543
15; 4; 16; 5; 7.1875; 0.644983
16; 4; 16; 5; 7; 0.588022
17; 4; 16; 5; 6.90625; 0.50065
18; 4; 16; 5; 6.90625; 0.50065
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 8; 8; 0.25
4; 2; 4; 7; 7.875; 0.404508
5; 2; 4; 7; 7.75; 0.452254
6; 2; 4; 7; 7.75; 0.476127
7; 3; 8; 6; 7.91667; 0.698054
8; 3; 8; 6; 7.91667; 0.772029
9; 3; 8; 6; 7.625; 0.79901
10; 3; 8; 6; 7.33333; 0.59967
11; 3; 8; 6; 7.20833; 0.408223
12; 4; 16; 6; 7.40625; 0.516
13; 4; 16; 6; 7.375; 0.600082
14; 4; 16; 5; 7.34375; 0.615394
15; 4; 16; 5; 7.10938; 0.534818
16; 4; 16; 5; 7.10938; 0.534818
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 8; 8; 0.25
4; 2; 4; 7; 7.875; 0.341506
5; 2; 4; 7; 7.875; 0.450262
6; 2; 4; 7; 7.75; 0.475131
7; 3; 8; 7; 7.83333; 0.560746
8; 3; 8; 7; 7.66667; 0.589284
9; 3; 8; 6; 7.5; 0.598797
10; 3; 8; 6; 7.41667; 0.552605
11; 4; 16; 6; 7.64062; 0.744875
12; 4; 16; 6; 7.57812; 0.778189
13; 4; 16; 6; 7.57812; 0.786517
14; 4; 16; 6; 7.48438; 0.694849
15; 4; 16; 6; 7.45312; 0.793775
16; 4; 16; 5; 7.14062; 0.777496
17; 4; 16; 5; 7.04688; 0.756548
18; 4; 16; 5; 7.04688; 0.756548
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
