iteration; subpops; biggest_subpop; best; avg; dev
84; 6; 64; 37; 80.112; 8.28713
85; 6; 64; 37; 80.0599; 8.32413
86; 6; 64; 36; 79.9349; 8.27667
87; 6; 64; 36; 79.5286; 8.21492
88; 6; 64; 36; 79.4974; 8.23334
89; 6; 64; 36; 79.3932; 8.18635
90; 6; 64; 36; 79.3516; 8.16106
91; 6; 64; 35; 79.2995; 8.14706
92; 6; 64; 35; 78.9141; 8.06606
93; 6; 64; 35; 78.9036; 8.06234
94; 6; 64; 35; 78.8932; 8.0609
95; 6; 64; 35; 78.8932; 8.07561
96; 6; 64; 35; 78.8724; 8.07531
97; 6; 64; 35; 72.9583; 4.40538
98; 6; 64; 35; 72.6615; 3.68682
99; 6; 64; 35; 72.6615; 3.56705
100; 6; 64; 35; 72.6615; 3.55884
101; 6; 64; 35; 72.6302; 3.55181
102; 6; 64; 35; 72.6302; 3.55063
103; 6; 64; 35; 72.4427; 3.51709
104; 6; 64; 35; 72.4323; 3.50952
105; 6; 64; 35; 72.4219; 3.55016
106; 6; 64; 34; 72.3802; 3.57343
107; 6; 64; 34; 72.3177; 3.5478
108; 6; 64; 34; 72.1667; 3.51438
109; 6; 64; 34; 72.0833; 3.47074
110; 6; 64; 33; 72.0417; 3.46347
111; 6; 64; 33; 72.0312; 3.4584
112; 6; 64; 33; 72.0104; 3.4543
113; 6; 64; 33; 71.9583; 3.49556
114; 6; 64; 33; 71.9583; 3.50243
115; 6; 64; 33; 71.9583; 3.51144
116; 6; 64; 33; 71.9479; 3.5122
117; 6; 64; 33; 71.9479; 3.51232
118; 6; 64; 33; 69.7135; 2.38602
119; 6; 64; 33; 69.5625; 2.14114
120; 6; 64; 33; 69.5625; 2.1061
121; 6; 64; 33; 69.5521; 2.09957
122; 6; 64; 33; 69.5521; 2.09848
123; 6; 64; 33; 69.5521; 2.09829
124; 6; 64; 33; 69.5; 2.10867
125; 6; 64; 33; 69.5; 2.1145
126; 6; 64; 33; 69.4896; 2.1148
127; 6; 64; 33; 69.4896; 2.11485
128; 6; 64; 33; 69.4896; 2.11486
129; 6; 64; 33; 69.3906; 2.11817
130; 6; 64; 33; 69.3906; 2.11872
131; 6; 64; 33; 69.3906; 2.12146
132; 6; 64; 33; 69.3802; 2.12126
133; 6; 64; 33; 69.3802; 2.12253
134; 6; 64; 33; 69.2812; 2.1144
135; 6; 64; 33; 69.2708; 2.11239
