iteration; subpops; biggest_subpop; best; avg; dev
99; 6; 64; 35; 70.2995; 4.80123
100; 6; 64; 35; 70.112; 4.1531
101; 6; 64; 35; 70.0807; 4.0397
102; 6; 64; 35; 69.987; 4.00212
103; 6; 64; 34; 69.9453; 3.99183
104; 6; 64; 34; 69.9036; 3.97092
105; 6; 64; 34; 69.638; 3.85595
106; 6; 64; 34; 69.6068; 3.82243
107; 6; 64; 34; 69.5964; 3.80451
108; 6; 64; 34; 69.5859; 3.81386
109; 6; 64; 34; 69.5755; 3.81466
110; 6; 64; 34; 69.4453; 3.84944
111; 6; 64; 34; 69.4453; 3.83992
112; 6; 64; 34; 69.4349; 3.84812
113; 6; 64; 34; 69.4245; 3.84866
114; 6; 64; 34; 69.4245; 3.84875
115; 6; 64; 34; 69.237; 3.78813
116; 6; 64; 34; 69.237; 3.77803
117; 6; 64; 34; 69.237; 3.77635
118; 6; 64; 34; 69.237; 3.79754
119; 6; 64; 34; 69.2057; 3.8228
120; 6; 64; 34; 66.8542; 2.53415
121; 6; 64; 34; 66.7448; 2.28
122; 6; 64; 33; 66.7031; 2.24158
123; 6; 64; 33; 66.6823; 2.2371
124; 6; 64; 33; 66.651; 2.24237
125; 6; 64; 33; 66.6198; 2.23723
126; 6; 64; 33; 66.5833; 2.31251
127; 6; 64; 33; 66.5312; 2.29872
128; 6; 64; 33; 66.4896; 2.28156
129; 6; 64; 33; 66.4792; 2.27796
130; 6; 64; 33; 66.4792; 2.26411
131; 6; 64; 33; 66.3594; 2.23786
132; 6; 64; 33; 66.3385; 2.21622
133; 6; 64; 33; 66.3281; 2.21129
134; 6; 64; 33; 66.3281; 2.18055
135; 6; 64; 33; 66.3177; 2.165
136; 6; 64; 33; 66.2344; 2.16572
137; 6; 64; 33; 66.2344; 2.16584
138; 6; 64; 33; 66.2344; 2.20753
139; 6; 64; 32; 66.224; 2.21315
140; 6; 64; 32; 66.224; 2.22984
141; 6; 64; 32; 65.1849; 1.73206
142; 6; 64; 32; 65.1068; 1.66141
143; 6; 64; 32; 65.0964; 1.64866
144; 6; 64; 32; 65.0964; 1.64653
145; 6; 64; 32; 65.0964; 1.64618
146; 6; 64; 32; 65.0964; 1.65688
