iteration; levels; best; avg; dev
46; 17; 18; 24.1861; 2.17285
47; 17; 18; 23.7857; 2.03248
48; 17; 18; 23.682; 2.04125
49; 18; 18; 23.6543; 2.03679
50; 19; 17; 23.282; 1.9181
51; 19; 17; 22.852; 1.89494
52; 20; 16; 22.811; 1.88794
53; 20; 16; 22.3759; 1.8526
54; 20; 16; 22.3618; 1.85046
55; 20; 16; 22.3499; 1.84279
56; 20; 16; 22.328; 1.83515
57; 20; 16; 22.303; 1.82906
58; 20; 16; 22.2833; 1.82835
59; 20; 16; 22.2748; 1.82177
60; 20; 16; 22.259; 1.81738
61; 20; 16; 22.2369; 1.81502
62; 20; 16; 22.236; 1.82562
63; 20; 16; 22.2399; 1.83119
64; 20; 16; 22.2263; 1.82159
65; 20; 16; 22.2209; 1.81691
66; 20; 16; 22.2146; 1.8118
67; 20; 16; 22.2057; 1.80656
68; 20; 16; 22.2022; 1.79966
69; 20; 16; 22.1593; 1.8113
70; 20; 16; 22.1426; 1.80641
71; 20; 16; 22.1304; 1.80012
72; 20; 16; 22.1278; 1.79816
73; 21; 16; 22.1141; 1.79288
74; 21; 16; 21.7951; 1.70251
75; 21; 16; 21.7629; 1.70235
76; 21; 16; 21.7661; 1.70043
77; 22; 16; 21.7551; 1.69898
78; 22; 16; 21.4944; 1.61929
79; 22; 16; 21.5012; 1.61956
80; 22; 16; 21.5; 1.61751
81; 23; 15; 21.4848; 1.61511
82; 23; 15; 21.1412; 1.6115
83; 23; 15; 21.1192; 1.60633
84; 23; 15; 21.0958; 1.61585
85; 23; 15; 21.0952; 1.61294
86; 23; 15; 21.092; 1.60829
87; 23; 15; 21.0896; 1.6054
88; 23; 15; 21.0692; 1.61013
89; 23; 15; 21.057; 1.60663
90; 23; 15; 21.0458; 1.6035
91; 23; 15; 21.0417; 1.60022
92; 23; 15; 21.0403; 1.60528
iteration; levels; best; avg; dev
0; 1; 46; 0; 0
1; 1; 46; 46; 0
2; 2; 42; 46.5; 0.5
3; 3; 41; 43.6667; 1.09984
4; 4; 39; 43; 1.36661
5; 4; 39; 41.1667; 1.83887
6; 5; 38; 41.25; 1.89553
7; 6; 37; 40.1381; 1.73287
8; 7; 34; 39.15; 1.66333
9; 8; 33; 37.6302; 2.08694
10; 9; 29; 36.6167; 2.05716
11; 9; 29; 34.8034; 2.66039
12; 10; 28; 34.3885; 2.76021
13; 11; 27; 33.2678; 2.69997
14; 12; 25; 32.4123; 2.50371
15; 12; 25; 31.2636; 2.6212
16; 13; 23; 30.8886; 2.73402
17; 13; 23; 29.8505; 2.83272
18; 14; 23; 29.67; 2.8403
19; 14; 23; 29.0996; 2.65979
20; 15; 23; 28.9944; 2.64145
21; 16; 21; 28.4153; 2.45795
22; 17; 20; 27.6716; 2.48514
23; 17; 20; 26.9452; 2.58165
24; 17; 20; 26.8691; 2.58712
25; 17; 20; 26.8795; 2.58241
26; 17; 20; 26.7609; 2.59789
27; 18; 19; 26.7237; 2.57991
28; 18; 19; 26.0568; 2.57075
29; 18; 19; 26.0495; 2.58552
30; 19; 19; 25.986; 2.58283
31; 19; 19; 25.5233; 2.45556
32; 20; 18; 25.4393; 2.45821
33; 20; 18; 24.9722; 2.39177
34; 21; 17; 24.8819; 2.39854
35; 21; 17; 24.3916; 2.35472
36; 22; 17; 24.3232; 2.35795
37; 22; 17; 23.9734; 2.24815
38; 22; 17; 23.929; 2.23977
39; 22; 17; 23.912; 2.22761
40; 23; 16; 23.9009; 2.22101
41; 23; 16; 23.4968; 2.18458
42; 23; 16; 23.4371; 2.19052
43; 24; 16; 23.4142; 2.18691
44; 24; 16; 23.0534; 2.09979
45; 24; 16; 23.0075; 2.09965
46; 25; 16; 22.9802; 2.09052
47; 25; 16; 22.6782; 2.00127
48; 25; 16; 22.6653; 1.99495
49; 26; 15; 22.6421; 1.98303
50; 26; 15; 22.2155; 1.99025
51; 27; 15; 22.1514; 2.01057
52; 27; 15; 21.8553; 1.94173
53; 27; 15; 21.815; 1.94178
54; 27; 15; 21.7739; 1.94511
55; 28; 15; 21.7485; 1.95184
56; 28; 15; 21.4791; 1.89
57; 28; 15; 21.4479; 1.89299
58; 28; 15; 21.4025; 1.90128
59; 28; 15; 21.3846; 1.91256
60; 28; 15; 21.3674; 1.90959
61; 29; 14; 21.3529; 1.91318
62; 29; 14; 21.0472; 1.88899
63; 29; 14; 21.0153; 1.89494
64; 29; 14; 21.0086; 1.89715
65; 29; 14; 20.9781; 1.89792
66; 30; 14; 20.9539; 1.89509
67; 30; 14; 20.6947; 1.84019
68; 30; 14; 20.6926; 1.835
69; 30; 14; 20.679; 1.84267
70; 30; 14; 20.6685; 1.84093
71; 30; 14; 20.6603; 1.83953
72; 30; 14; 20.638; 1.83988
73; 30; 14; 20.6238; 1.83547
74; 30; 14; 20.6181; 1.83376
75; 30; 14; 20.5836; 1.8359
76; 31; 14; 20.5621; 1.83092
77; 31; 14; 20.3428; 1.767
78; 31; 14; 20.3393; 1.76371
79; 31; 14; 20.3306; 1.76004
iteration; levels; best; avg; dev
0; 1; 47; 0; 0
1; 2; 44; 47; 0
2; 3; 42; 44.75; 0.75
3; 3; 42; 43.1111; 1.26827
4; 4; 39; 43.0833; 1.35121
5; 5; 38; 41.0917; 1.88605
6; 6; 36; 40.1; 1.67421
7; 7; 35; 38.9274; 1.61809
8; 7; 35; 37.9; 1.61848
9; 8; 34; 37.8127; 1.69002
10; 9; 32; 37.147; 1.52741
11; 10; 28; 36.154; 1.66041
12; 11; 26; 34.5716; 2.48496
13; 11; 26; 33.0757; 2.84655
14; 11; 26; 33.0105; 2.8762
15; 11; 26; 32.7342; 2.99809
16; 11; 26; 32.7027; 2.99707
17; 12; 25; 32.4512; 3.05104
18; 12; 25; 31.3557; 2.95482
19; 12; 25; 31.2555; 2.94939
20; 13; 23; 31.0715; 2.95379
21; 13; 23; 30.0847; 2.88972
22; 14; 22; 29.8319; 2.93392
23; 14; 22; 28.9977; 2.79905
24; 14; 22; 28.8981; 2.81231
25; 14; 22; 28.8331; 2.82415
26; 14; 22; 28.7923; 2.81404
27; 15; 21; 28.7023; 2.84892
28; 16; 18; 27.9702; 2.74425
29; 16; 18; 26.9154; 2.91905
30; 16; 18; 26.9345; 2.94361
31; 16; 18; 26.886; 2.92713
32; 16; 18; 26.8055; 2.94175
33; 16; 18; 26.7559; 2.92299
34; 16; 18; 26.7258; 2.91208
35; 16; 18; 26.6884; 2.91403
36; 16; 18; 26.6741; 2.90037
37; 16; 18; 26.6348; 2.88747
38; 16; 18; 26.6329; 2.88154
39; 16; 18; 26.5724; 2.87864
40; 16; 18; 26.5709; 2.87024
41; 16; 18; 26.5748; 2.86485
42; 16; 18; 26.5411; 2.86233
43; 16; 18; 26.4783; 2.85219
44; 16; 18; 26.4287; 2.85935
45; 16; 18; 26.4013; 2.8482
46; 16; 18; 26.276; 2.86775
47; 16; 18; 26.2659; 2.85955
48; 16; 18; 26.1925; 2.87128
49; 16; 18; 26.1727; 2.86325
50; 16; 18; 26.1566; 2.85581
51; 16; 18; 26.1113; 2.84593
52; 16; 18; 26.1142; 2.84147
53; 16; 18; 26.0926; 2.83317
54; 16; 18; 26.0905; 2.82915
55; 16; 18; 26.0817; 2.82072
56; 16; 18; 26.0749; 2.83354
57; 16; 18; 25.9307; 2.8578
58; 16; 18; 25.9275; 2.86607
59; 16; 18; 25.9327; 2.87334
60; 17; 18; 25.9121; 2.86663
61; 17; 18; 25.3812; 2.69298
62; 17; 18; 25.2958; 2.66952
63; 17; 18; 25.2644; 2.66387
64; 18; 18; 25.2226; 2.64946
65; 18; 18; 24.7759; 2.48861
66; 19; 18; 24.7683; 2.47528
67; 20; 17; 24.3687; 2.33479
68; 20; 17; 23.9089; 2.29579
69; 20; 17; 23.9037; 2.29184
70; 21; 17; 23.8634; 2.29906
71; 22; 16; 23.5002; 2.20137
72; 22; 16; 23.0788; 2.17052
73; 22; 16; 23.0458; 2.17264
74; 22; 16; 23.0408; 2.16926
75; 22; 16; 23.0143; 2.17584
76; 22; 16; 23.0133; 2.17431
77; 22; 16; 23.0077; 2.17068
78; 22; 16; 23.0088; 2.16938
79; 22; 16; 22.9908; 2.16463
80; 22; 16; 22.9897; 2.16208
81; 23; 15; 22.9825; 2.15958
82; 23; 15; 22.5496; 2.14693
83; 23; 15; 22.5402; 2.1445
84; 23; 15; 22.5239; 2.1376
85; 23; 15; 22.5157; 2.13516
86; 23; 15; 22.5131; 2.13291
87; 23; 15; 22.4874; 2.12743
88; 23; 15; 22.4763; 2.12193
89; 23; 15; 22.4185; 2.14279
90; 23; 15; 22.4087; 2.14145
91; 23; 15; 22.403; 2.13997
92; 23; 15; 22.3906; 2.13848
93; 23; 15; 22.3869; 2.15621
94; 23; 15; 22.3803; 2.15492
iteration; levels; best; avg; dev
0; 1; 40; 0; 0
1; 1; 40; 40; 0
2; 2; 40; 42; 2
3; 2; 40; 41; 1.8165
4; 2; 40; 42.375; 3.39257
5; 3; 40; 42.3; 3.92339
6; 4; 35; 41.5556; 2.66408
7; 4; 35; 38.8482; 2.82717
8; 4; 35; 39.15; 3.1147
9; 5; 33; 39.25; 3.12366
10; 5; 33; 37.6171; 2.83973
11; 6; 31; 37.7636; 2.82454
12; 7; 29; 36.138; 2.74459
13; 7; 29; 34.4875; 2.69199
14; 8; 28; 34.4165; 2.62246
15; 9; 27; 33.2542; 2.45009
16; 10; 26; 32.1863; 2.30516
17; 11; 24; 31.2446; 2.18069
18; 11; 24; 30.122; 2.28685
19; 11; 24; 30.0832; 2.26139
20; 12; 23; 29.9407; 2.26606
21; 13; 22; 29.0291; 2.21003
22; 13; 22; 28.1699; 2.15662
23; 14; 20; 27.9575; 2.16543
24; 14; 20; 27.0707; 2.22561
25; 14; 20; 26.8976; 2.27121
26; 14; 20; 26.7466; 2.29801
27; 15; 19; 26.6865; 2.29721
28; 15; 19; 26.0954; 2.22052
29; 15; 19; 26.0186; 2.19072
30; 15; 19; 25.9565; 2.184
31; 16; 19; 25.8254; 2.19401
32; 16; 19; 25.3155; 2.04457
33; 17; 18; 25.2633; 2.01576
34; 17; 18; 24.6961; 1.97674
35; 17; 18; 24.6395; 1.98846
36; 17; 18; 24.5599; 1.98775
37; 18; 18; 24.5197; 1.97473
38; 18; 18; 24.1164; 1.87162
39; 19; 17; 24.0523; 1.86826
40; 19; 17; 23.6077; 1.83113
41; 19; 17; 23.5872; 1.81828
42; 19; 17; 23.5594; 1.81413
43; 20; 16; 23.4881; 1.8407
44; 20; 16; 23.0299; 1.80967
45; 20; 16; 23.0069; 1.80443
46; 20; 16; 22.9721; 1.80494
47; 20; 16; 22.9132; 1.82877
48; 21; 16; 22.8884; 1.83013
49; 21; 16; 22.5175; 1.76499
50; 21; 16; 22.4993; 1.75648
51; 22; 16; 22.4752; 1.75534
52; 23; 15; 22.1412; 1.67594
53; 23; 15; 21.765; 1.6646
54; 23; 15; 21.726; 1.66495
55; 23; 15; 21.7035; 1.65845
56; 23; 15; 21.6827; 1.65405
57; 23; 15; 21.6765; 1.64922
