iteration; levels; best; avg; dev
14; 9; 53; 60.9313; 3.65336
15; 10; 48; 60.8841; 3.6037
16; 10; 48; 58.6758; 4.04295
17; 10; 48; 58.5315; 4.07717
18; 10; 48; 58.2873; 4.10808
19; 10; 48; 58.2899; 4.07186
20; 10; 48; 58.1675; 4.06468
21; 10; 48; 57.9802; 4.04569
22; 10; 48; 57.9176; 4.02195
23; 10; 48; 57.8653; 4.00434
24; 10; 48; 57.746; 3.99081
25; 10; 48; 57.6897; 3.9632
26; 10; 48; 57.5536; 3.98537
27; 10; 48; 57.5732; 3.95577
28; 11; 47; 57.4564; 3.9195
29; 11; 47; 56.125; 3.67645
30; 11; 47; 56.1194; 3.63036
31; 11; 47; 56.0387; 3.5986
32; 11; 47; 55.9161; 3.58914
33; 11; 47; 55.9122; 3.56223
34; 11; 47; 55.8741; 3.54103
35; 11; 47; 55.8053; 3.52043
36; 12; 47; 55.5573; 3.53727
37; 12; 47; 54.7057; 3.24031
38; 12; 47; 54.6434; 3.20692
39; 13; 46; 54.6456; 3.20008
40; 14; 45; 53.8109; 3.00722
41; 15; 44; 53.0381; 2.86568
42; 15; 44; 52.2648; 2.81845
43; 15; 44; 52.2637; 2.79749
44; 15; 44; 52.2372; 2.77471
45; 15; 44; 52.2373; 2.76536
46; 15; 44; 52.1738; 2.76381
47; 15; 44; 52.0908; 2.77858
48; 15; 44; 52.0854; 2.76925
49; 15; 44; 52.121; 2.80735
50; 15; 44; 52.1153; 2.80265
51; 15; 44; 52.0983; 2.79014
52; 16; 43; 52.0507; 2.76882
53; 16; 43; 51.3229; 2.6635
54; 16; 43; 51.3196; 2.65582
55; 17; 42; 51.2045; 2.66046
56; 17; 42; 50.5811; 2.56099
57; 17; 42; 50.4498; 2.57962
58; 17; 42; 50.4512; 2.57356
59; 18; 41; 50.4498; 2.56772
60; 18; 41; 49.7716; 2.50715
61; 18; 41; 49.713; 2.50484
62; 18; 41; 49.7163; 2.49748
63; 19; 40; 49.7035; 2.48807
64; 19; 40; 49.0693; 2.42339
65; 19; 40; 49.0481; 2.41674
66; 19; 40; 49.0101; 2.40667
67; 19; 40; 49.0105; 2.40031
68; 19; 40; 48.9506; 2.40781
69; 19; 40; 48.918; 2.39814
70; 19; 40; 48.9023; 2.39565
71; 19; 40; 48.8912; 2.3954
72; 19; 40; 48.8891; 2.38883
73; 19; 40; 48.8329; 2.38881
74; 19; 40; 48.8369; 2.38647
75; 19; 40; 48.8418; 2.38461
76; 19; 40; 48.8371; 2.37903
77; 19; 40; 48.8366; 2.37326
78; 19; 40; 48.8355; 2.36629
79; 20; 40; 48.8309; 2.36182
80; 20; 40; 48.3608; 2.23172
iteration; levels; best; avg; dev
0; 1; 75; 0; 0
1; 1; 75; 75; 0
2; 1; 75; 77; 2
3; 2; 73; 86.3333; 15.3
4; 3; 72; 81.875; 14.5635
5; 4; 69; 77.5; 9.53288
6; 5; 66; 74.4583; 6.16114
7; 6; 62; 72.3167; 4.64307
8; 7; 61; 69.4444; 4.32592
9; 8; 59; 67.8738; 3.82416
10; 9; 55; 65.9321; 3.72125
11; 10; 53; 63.6807; 4.04184
12; 10; 53; 61.702; 4.11051
13; 11; 52; 61.1417; 4.15903
14; 12; 50; 59.771; 3.92169
15; 13; 46; 58.3754; 3.84219
16; 13; 46; 56.5469; 4.17847
17; 13; 46; 56.1335; 4.20652
18; 13; 46; 56.0763; 4.16292
19; 13; 46; 55.8956; 4.1417
20; 13; 46; 55.8294; 4.09967
21; 13; 46; 55.7379; 4.05485
22; 14; 46; 55.6512; 4.05191
23; 14; 46; 54.7833; 3.74631
24; 14; 46; 54.608; 3.72674
25; 14; 46; 54.4965; 3.70477
26; 14; 46; 54.4463; 3.67704
27; 14; 46; 54.2869; 3.69754
28; 14; 46; 54.2126; 3.69776
29; 14; 46; 54.1999; 3.67887
30; 14; 46; 54.1879; 3.65911
31; 14; 46; 54.1221; 3.62086
32; 14; 46; 54.1022; 3.59644
33; 15; 45; 54.0498; 3.57981
34; 15; 45; 53.3117; 3.31493
35; 15; 45; 53.3069; 3.28424
36; 15; 45; 53.3013; 3.26867
37; 15; 45; 53.1636; 3.29682
38; 16; 44; 53.1107; 3.26971
39; 16; 44; 52.4388; 3.12846
40; 16; 44; 52.3874; 3.10691
41; 16; 44; 52.3278; 3.10495
42; 17; 43; 52.2699; 3.11772
43; 17; 43; 51.6192; 3.00994
44; 17; 43; 51.4771; 3.02328
45; 18; 43; 51.4745; 3.01468
46; 19; 42; 50.9879; 2.84097
47; 19; 42; 50.3169; 2.78508
48; 19; 42; 50.3088; 2.77326
