iteration; levels; best; avg; dev
26; 17; 46; 56.6724; 3.43085
27; 18; 45; 55.6617; 3.38438
28; 19; 44; 54.6881; 3.36594
29; 20; 43; 53.8531; 3.2961
30; 20; 43; 53.0498; 3.23442
31; 21; 42; 52.8224; 3.26107
32; 22; 41; 52.0865; 3.16756
33; 23; 40; 51.2658; 3.1662
34; 23; 40; 50.635; 3.11332
35; 23; 40; 50.5753; 3.10144
36; 23; 40; 50.4908; 3.10923
37; 23; 40; 50.4899; 3.10235
38; 23; 40; 50.3225; 3.13414
39; 23; 40; 50.2932; 3.12708
40; 24; 39; 50.174; 3.13
41; 24; 39; 49.584; 3.10494
42; 24; 39; 49.5796; 3.09859
43; 24; 39; 49.4293; 3.1102
44; 24; 39; 49.2917; 3.12336
45; 24; 39; 49.2763; 3.11561
46; 25; 39; 49.2342; 3.11277
47; 25; 39; 48.7455; 2.98806
48; 25; 39; 48.6631; 2.99285
49; 25; 39; 48.6298; 2.98986
50; 26; 38; 48.5756; 2.98039
51; 26; 38; 48.0671; 2.91635
52; 26; 38; 48.0184; 2.91499
53; 27; 37; 47.975; 2.91373
54; 27; 37; 47.5092; 2.8307
55; 27; 37; 47.5035; 2.82674
56; 27; 37; 47.4871; 2.81309
57; 27; 37; 47.4651; 2.80836
58; 27; 37; 47.4188; 2.79928
59; 28; 37; 47.3623; 2.81423
60; 28; 37; 46.9476; 2.71984
61; 28; 37; 46.9125; 2.70917
62; 28; 37; 46.9097; 2.70533
63; 28; 37; 46.8594; 2.69973
64; 28; 37; 46.8427; 2.69274
65; 29; 36; 46.7923; 2.69229
66; 29; 36; 46.3285; 2.63823
67; 29; 36; 46.3185; 2.63048
68; 29; 36; 46.2882; 2.64499
69; 29; 36; 46.2765; 2.6404
70; 29; 36; 46.2689; 2.63705
71; 29; 36; 46.2014; 2.63275
iteration; levels; best; avg; dev
0; 1; 77; 0; 0
1; 1; 77; 77; 0
2; 1; 77; 85.5; 8.5
3; 1; 77; 88.3333; 16.5139
4; 1; 77; 88; 23.4781
5; 2; 73; 87.4; 29.8216
6; 2; 73; 80; 17.8405
7; 3; 73; 81.2857; 12.7215
8; 4; 69; 78.7361; 6.96027
9; 5; 68; 75.3125; 4.46488
10; 6; 64; 73.6733; 2.99489
11; 7; 61; 71.1856; 3.08248
12; 7; 61; 68.7524; 3.30885
13; 8; 58; 68.0926; 3.50629
